Label (Grouping),Median income (dollars)
        Margin of Error,"±7,568"
"Isle of Wight County, Virginia",
    Households,
        Estimate,"95,241"
        Margin of Error,"±5,210"
    Families,
        Estimate,"113,173"
        Margin of Error,"±5,852"
    Married-couple families,
        Estimate,"129,036"
        Margin of Error,"±8,240"
    Nonfamily households,
        Estimate,"45,241"
        Margin of Error,"±6,115"
"James City County, Virginia",
    Households,
        Estimate,"109,985"
        Margin of Error,"±5,164"
    Families,
        Estimate,"131,624"
        Margin of Error,"±5,336"
    Married-couple families,
        Estimate,"145,844"
        Margin of Error,"±7,171"
    Nonfamily households,
        Estimate,"60,208"
        Margin of Error,"±6,108"
"King and Queen County, Virginia",
    Households,
        Estimate,"70,469"
        Margin of Error,"±14,473"
    Families,
        Estimate,"85,962"
        Margin of Error,"±10,870"
    Married-couple families,
        Estimate,"102,905"
        Margin of Error,"±10,587"
    Nonfamily households,
        Estimate,"39,718"
        Margin of Error,"±11,520"
"King George County, Virginia",
    Households,
        Estimate,"116,884"
        Margin of Error,"±7,078"
    Families,
        Estimate,"131,442"
        Margin of Error,"±10,614"
    Married-couple families,
        Estimate,"148,918"
        Margin of Error,"±4,762"
    Nonfamily households,
        Estimate,"72,440"
        Margin of Error,"±11,421"
"King William County, Virginia",
    Households,
        Estimate,"86,056"
        Margin of Error,"±7,056"
    Families,
        Estimate,"98,408"
        Margin of Error,"±9,138"
    Married-couple families,
        Estimate,"116,652"
        Margin of Error,"±10,747"
    Nonfamily households,
        Estimate,"43,750"
        Margin of Error,"±12,685"
"Lancaster County, Virginia",
    Households,
        Estimate,"69,713"
        Margin of Error,"±6,479"
    Families,
        Estimate,"86,273"
        Margin of Error,"±8,723"
    Married-couple families,
        Estimate,"100,954"
        Margin of Error,"±11,574"
    Nonfamily households,
        Estimate,"48,948"
        Margin of Error,"±7,213"
"Lee County, Virginia",
    Households,
        Estimate,"41,827"
        Margin of Error,"±3,806"
    Families,
        Estimate,"61,824"
        Margin of Error,"±6,708"
    Married-couple families,
        Estimate,"72,924"
        Margin of Error,"±8,763"
    Nonfamily households,
        Estimate,"22,711"
        Margin of Error,"±4,671"
"Loudoun County, Virginia",
    Households,
        Estimate,"181,765"
        Margin of Error,"±3,438"
    Families,
        Estimate,"203,933"
        Margin of Error,"±4,244"
    Married-couple families,
        Estimate,"221,884"
        Margin of Error,"±4,642"
    Nonfamily households,
        Estimate,"104,262"
        Margin of Error,"±4,299"
"Louisa County, Virginia",
    Households,
        Estimate,"86,689"
        Margin of Error,"±6,396"
    Families,
        Estimate,"101,472"
        Margin of Error,"±7,505"
    Married-couple families,
        Estimate,"116,122"
        Margin of Error,"±7,890"
    Nonfamily households,
        Estimate,"47,553"
        Margin of Error,"±5,547"
"Lunenburg County, Virginia",
    Households,
        Estimate,"54,842"
        Margin of Error,"±9,089"
    Families,
        Estimate,"73,211"
        Margin of Error,"±8,692"
    Married-couple families,
        Estimate,"80,833"
        Margin of Error,"±7,160"
    Nonfamily households,
        Estimate,"29,279"
        Margin of Error,"±7,149"
"Madison County, Virginia",
    Households,
        Estimate,"84,323"
        Margin of Error,"±8,904"
    Families,
        Estimate,"103,087"
        Margin of Error,"±10,907"
    Married-couple families,
        Estimate,"120,029"
        Margin of Error,"±6,523"
    Nonfamily households,
        Estimate,"45,359"
        Margin of Error,"±4,471"
"Mathews County, Virginia",
    Households,
        Estimate,"75,880"
        Margin of Error,"±11,970"
    Families,
        Estimate,"95,740"
        Margin of Error,"±14,469"
    Married-couple families,
        Estimate,"101,583"
        Margin of Error,"±12,622"
    Nonfamily households,
        Estimate,"47,105"
        Margin of Error,"±12,716"
"Mecklenburg County, Virginia",
    Households,
        Estimate,"57,045"
        Margin of Error,"±4,683"
    Families,
        Estimate,"75,361"
        Margin of Error,"±4,362"
    Married-couple families,
        Estimate,"94,444"
        Margin of Error,"±5,643"
    Nonfamily households,
        Estimate,"30,444"
        Margin of Error,"±3,507"
"Middlesex County, Virginia",
    Households,
        Estimate,"75,060"
        Margin of Error,"±9,373"
    Families,
        Estimate,"96,928"
        Margin of Error,"±12,524"
    Married-couple families,
        Estimate,"103,994"
        Margin of Error,"±9,631"
    Nonfamily households,
        Estimate,"37,290"
        Margin of Error,"±12,241"
"Montgomery County, Virginia",
    Households,
        Estimate,"72,715"
        Margin of Error,"±3,227"
    Families,
        Estimate,"110,919"
        Margin of Error,"±6,553"
    Married-couple families,
        Estimate,"126,149"
        Margin of Error,"±5,211"
    Nonfamily households,
        Estimate,"36,004"
        Margin of Error,"±2,038"
"Nelson County, Virginia",
    Households,
        Estimate,"72,589"
        Margin of Error,"±13,010"
    Families,
        Estimate,"102,872"
        Margin of Error,"±13,295"
    Married-couple families,
        Estimate,"109,767"
        Margin of Error,"±13,405"
    Nonfamily households,
        Estimate,"42,727"
        Margin of Error,"±8,117"
"New Kent County, Virginia",
    Households,
        Estimate,"123,314"
        Margin of Error,"±7,122"
    Families,
        Estimate,"131,206"
        Margin of Error,"±3,612"
    Married-couple families,
        Estimate,"143,697"
        Margin of Error,"±13,352"
    Nonfamily households,
        Estimate,"66,997"
        Margin of Error,"±8,969"
"Northampton County, Virginia",
    Households,
        Estimate,"61,632"
        Margin of Error,"±7,281"
    Families,
        Estimate,"81,846"
        Margin of Error,"±6,132"
    Married-couple families,
        Estimate,"93,906"
        Margin of Error,"±10,719"
    Nonfamily households,
        Estimate,"28,601"
        Margin of Error,"±4,485"
"Northumberland County, Virginia",
    Households,
        Estimate,"66,480"
        Margin of Error,"±4,444"
    Families,
        Estimate,"79,382"
        Margin of Error,"±13,932"
    Married-couple families,
        Estimate,"98,425"
        Margin of Error,"±12,062"
    Nonfamily households,
        Estimate,"35,995"
        Margin of Error,"±14,346"
"Nottoway County, Virginia",
    Households,
        Estimate,"63,261"
        Margin of Error,"±6,928"
    Families,
        Estimate,"81,563"
        Margin of Error,"±8,411"
    Married-couple families,
        Estimate,"93,281"
        Margin of Error,"±7,899"
    Nonfamily households,
        Estimate,"33,090"
        Margin of Error,"±4,826"
"Orange County, Virginia",
    Households,
        Estimate,"94,008"
        Margin of Error,"±4,855"
    Families,
        Estimate,"107,778"
        Margin of Error,"±9,551"
    Married-couple families,
        Estimate,"121,007"
        Margin of Error,"±12,041"
    Nonfamily households,
        Estimate,"59,118"
        Margin of Error,"±12,278"
"Page County, Virginia",
    Households,
        Estimate,"57,037"
        Margin of Error,"±5,201"
    Families,
        Estimate,"70,635"
        Margin of Error,"±5,496"
    Married-couple families,
        Estimate,"82,074"
        Margin of Error,"±8,530"
    Nonfamily households,
        Estimate,"33,990"
        Margin of Error,"±4,911"
"Patrick County, Virginia",
    Households,
        Estimate,"53,038"
        Margin of Error,"±6,528"
    Families,
        Estimate,"73,955"
        Margin of Error,"±7,760"
    Married-couple families,
        Estimate,"81,110"
        Margin of Error,"±5,007"
    Nonfamily households,
        Estimate,"34,917"
        Margin of Error,"±5,282"
"Pittsylvania County, Virginia",
    Households,
        Estimate,"54,085"
        Margin of Error,"±2,331"
    Families,
        Estimate,"70,039"
        Margin of Error,"±4,235"
    Married-couple families,
        Estimate,"82,094"
        Margin of Error,"±4,052"
    Nonfamily households,
        Estimate,"27,816"
        Margin of Error,"±3,306"
"Powhatan County, Virginia",
    Households,
        Estimate,"110,537"
        Margin of Error,"±6,157"
    Families,
        Estimate,"124,379"
        Margin of Error,"±6,792"
    Married-couple families,
        Estimate,"134,783"
        Margin of Error,"±11,647"
    Nonfamily households,
        Estimate,"52,719"
        Margin of Error,"±11,409"
"Prince Edward County, Virginia",
    Households,
        Estimate,"56,315"
        Margin of Error,"±4,908"
    Families,
        Estimate,"74,694"
        Margin of Error,"±11,691"
    Married-couple families,
        Estimate,"94,024"
        Margin of Error,"±10,500"
    Nonfamily households,
        Estimate,"29,558"
        Margin of Error,"±6,107"
"Prince George County, Virginia",
    Households,
        Estimate,"84,897"
        Margin of Error,"±5,442"
    Families,
        Estimate,"91,775"
        Margin of Error,"±10,448"
    Married-couple families,
        Estimate,"112,118"
        Margin of Error,"±6,157"
    Nonfamily households,
        Estimate,"53,971"
        Margin of Error,"±9,000"
"Prince William County, Virginia",
    Households,
        Estimate,"131,402"
        Margin of Error,"±2,625"
    Families,
        Estimate,"146,895"
        Margin of Error,"±2,916"
    Married-couple families,
        Estimate,"166,253"
        Margin of Error,"±3,030"
    Nonfamily households,
        Estimate,"86,575"
        Margin of Error,"±3,100"
"Pulaski County, Virginia",
    Households,
        Estimate,"62,028"
        Margin of Error,"±3,125"
    Families,
        Estimate,"83,034"
        Margin of Error,"±5,406"
    Married-couple families,
        Estimate,"100,548"
        Margin of Error,"±4,622"
    Nonfamily households,
        Estimate,"36,481"
        Margin of Error,"±2,080"
"Rappahannock County, Virginia",
    Households,
        Estimate,"83,380"
        Margin of Error,"±18,445"
    Families,
        Estimate,"87,460"
        Margin of Error,"±20,834"
    Married-couple families,
        Estimate,"99,564"
        Margin of Error,"±21,333"
    Nonfamily households,
        Estimate,"54,081"
        Margin of Error,"±19,699"
"Richmond County, Virginia",
    Households,
        Estimate,"66,304"
        Margin of Error,"±6,797"
    Families,
        Estimate,"92,444"
        Margin of Error,"±15,010"
    Married-couple families,
        Estimate,"97,108"
        Margin of Error,"±9,032"
    Nonfamily households,
        Estimate,"34,773"
        Margin of Error,"±8,404"
"Roanoke County, Virginia",
    Households,
        Estimate,"83,709"
        Margin of Error,"±2,594"
    Families,
        Estimate,"104,654"
        Margin of Error,"±3,040"
    Married-couple families,
        Estimate,"117,964"
        Margin of Error,"±4,249"
    Nonfamily households,
        Estimate,"48,056"
        Margin of Error,"±3,860"
"Rockbridge County, Virginia",
    Households,
        Estimate,"65,469"
        Margin of Error,"±4,457"
    Families,
        Estimate,"80,997"
        Margin of Error,"±5,212"
    Married-couple families,
        Estimate,"92,321"
        Margin of Error,"±13,909"
    Nonfamily households,
        Estimate,"35,825"
        Margin of Error,"±8,602"
"Rockingham County, Virginia",
    Households,
        Estimate,"80,693"
        Margin of Error,"±2,623"
    Families,
        Estimate,"96,631"
        Margin of Error,"±4,193"
    Married-couple families,
        Estimate,"108,827"
        Margin of Error,"±3,318"
    Nonfamily households,
        Estimate,"42,679"
        Margin of Error,"±2,201"
"Russell County, Virginia",
    Households,
        Estimate,"50,012"
        Margin of Error,"±7,432"
    Families,
        Estimate,"69,267"
        Margin of Error,"±6,791"
    Married-couple families,
        Estimate,"78,066"
        Margin of Error,"±5,812"
    Nonfamily households,
        Estimate,"24,018"
        Margin of Error,"±4,072"
"Scott County, Virginia",
    Households,
        Estimate,"46,349"
        Margin of Error,"±3,805"
    Families,
        Estimate,"65,704"
        Margin of Error,"±6,049"
    Married-couple families,
        Estimate,"78,091"
        Margin of Error,"±7,177"
    Nonfamily households,
        Estimate,"24,550"
        Margin of Error,"±2,987"
"Shenandoah County, Virginia",
    Households,
        Estimate,"67,191"
        Margin of Error,"±6,235"
    Families,
        Estimate,"83,875"
        Margin of Error,"±3,654"
    Married-couple families,
        Estimate,"99,263"
        Margin of Error,"±2,503"
    Nonfamily households,
        Estimate,"41,952"
        Margin of Error,"±5,830"
"Smyth County, Virginia",
    Households,
        Estimate,"49,883"
        Margin of Error,"±3,503"
    Families,
        Estimate,"66,543"
        Margin of Error,"±3,827"
    Married-couple families,
        Estimate,"79,973"
        Margin of Error,"±5,875"
    Nonfamily households,
        Estimate,"26,708"
        Margin of Error,"±2,819"
"Southampton County, Virginia",
    Households,
        Estimate,"70,795"
        Margin of Error,"±5,821"
    Families,
        Estimate,"91,028"
        Margin of Error,"±4,000"
    Married-couple families,
        Estimate,"102,303"
        Margin of Error,"±10,405"
    Nonfamily households,
        Estimate,"40,913"
        Margin of Error,"±6,988"
"Spotsylvania County, Virginia",
    Households,
        Estimate,"112,738"
        Margin of Error,"±4,298"
    Families,
        Estimate,"123,106"
        Margin of Error,"±3,821"
    Married-couple families,
        Estimate,"138,096"
        Margin of Error,"±3,884"
    Nonfamily households,
        Estimate,"69,049"
        Margin of Error,"±5,927"
"Stafford County, Virginia",
    Households,
        Estimate,"137,807"
        Margin of Error,"±4,821"
    Families,
        Estimate,"152,513"
        Margin of Error,"±3,455"
    Married-couple families,
        Estimate,"163,981"
        Margin of Error,"±5,994"
    Nonfamily households,
        Estimate,"81,105"
        Margin of Error,"±4,921"
"Surry County, Virginia",
    Households,
        Estimate,"78,041"
        Margin of Error,"±15,313"
    Families,
        Estimate,"95,142"
        Margin of Error,"±10,481"
    Married-couple families,
        Estimate,"107,618"
        Margin of Error,"±10,134"
    Nonfamily households,
        Estimate,"33,958"
        Margin of Error,"±7,371"
"Sussex County, Virginia",
    Households,
        Estimate,"63,530"
        Margin of Error,"±2,583"
    Families,
        Estimate,"83,586"
        Margin of Error,"±18,398"
    Married-couple families,
        Estimate,"98,813"
        Margin of Error,"±18,634"
    Nonfamily households,
        Estimate,"38,528"
        Margin of Error,"±2,861"
"Tazewell County, Virginia",
    Households,
        Estimate,"47,313"
        Margin of Error,"±3,483"
    Families,
        Estimate,"65,941"
        Margin of Error,"±5,429"
    Married-couple families,
        Estimate,"79,163"
        Margin of Error,"±5,732"
    Nonfamily households,
        Estimate,"26,485"
        Margin of Error,"±2,196"
"Warren County, Virginia",
    Households,
        Estimate,"84,682"
        Margin of Error,"±6,378"
    Families,
        Estimate,"98,220"
        Margin of Error,"±6,484"
    Married-couple families,
        Estimate,"113,159"
        Margin of Error,"±10,487"
    Nonfamily households,
        Estimate,"51,863"
        Margin of Error,"±6,077"
"Washington County, Virginia",
    Households,
        Estimate,"64,552"
        Margin of Error,"±3,311"
    Families,
        Estimate,"82,245"
        Margin of Error,"±5,200"
    Married-couple families,
        Estimate,"91,303"
        Margin of Error,"±8,194"
    Nonfamily households,
        Estimate,"32,788"
        Margin of Error,"±4,079"
"Westmoreland County, Virginia",
    Households,
        Estimate,"63,398"
        Margin of Error,"±7,180"
    Families,
        Estimate,"82,826"
        Margin of Error,"±8,795"
    Married-couple families,
        Estimate,"96,966"
        Margin of Error,"±10,155"
    Nonfamily households,
        Estimate,"46,231"
