2024 Utility Bundled Retail Sales- Commercial,,,,,,
(Data from forms EIA-861- schedules 4A & 4D and EIA-861S),,,,,,
Entity,State,Ownership,Customers (Count),Sales (Megawatthours),Revenues (Thousands Dollars),Average Price (cents/kWh)
Alaska Electric Light & Power Co.,AK,Investor Owned,"2,459","126,119","13,567.0",10.76
Alaska Power and Telephone Co,AK,Investor Owned,"2,719","50,720","15,878.0",31.31
"Alaska Village Elec Coop, Inc",AK,Cooperative,"3,829","81,597","46,345.7",56.80
Chugach Electric Assn Inc,AK,Cooperative,"16,325","1,242,359","209,672.6",16.88
Golden Valley Elec Assn Inc,AK,Cooperative,"6,905","118,991","34,685.4",29.15
Homer Electric Assn Inc,AK,Cooperative,"4,415","160,774","42,424.1",26.39
Ketchikan Public Utilities,AK,Municipal,"1,389","76,702","9,227.2",12.03
Kodiak Electric Assn Inc,AK,Cooperative,"1,363","24,379","4,544.0",18.64
Kotzebue Electric Assn Inc,AK,Cooperative,127,"11,559","5,258.4",45.49
Matanuska Electric Assn Inc,AK,Cooperative,"6,849","321,388","65,069.0",20.25
TDX North Slope Generating Co,AK,Investor Owned,162,"47,662","11,825.0",24.81
Alabama Power Co,AL,Investor Owned,"207,465","13,336,758","1,979,164.0",14.84
Albertville Municipal Utilities Board,AL,Municipal,"2,393","194,750","21,539.0",11.06
Arab Electric Coop Inc,AL,Cooperative,"2,861","100,727","12,392.0",12.30
Baldwin County El Member Corp,AL,Cooperative,"8,363","537,247","59,304.0",11.04
Black Warrior Elec Member Corp,AL,Cooperative,"6,593","100,396","12,216.9",12.17
Central Alabama Electric Coop,AL,Cooperative,"2,380","100,391","13,856.0",13.80
Cherokee Electric Coop - (AL),AL,Cooperative,"7,734","118,484","20,730.0",17.50
City of Andalusia,AL,Municipal,"1,068","59,566","10,139.0",17.02
City of Athens - (AL),AL,Municipal,"8,122","407,747","47,669.0",11.69
City of Bessemer Utilities,AL,Municipal,"1,764","154,423","19,580.0",12.68
City of Courtland,AL,Municipal,212,"21,214","2,193.0",10.34
City of Dothan - (AL),AL,Municipal,"5,414","404,400","43,009.0",10.64
City of Florence - (AL),AL,Municipal,"10,687","431,864","53,141.0",12.31
City of Hartselle,AL,Municipal,"1,124","59,968","7,094.0",11.83
City of Huntsville - (AL),AL,Municipal,"23,010","2,168,220","240,403.0",11.09
City of Muscle Shoals,AL,Municipal,"1,837","109,529","13,519.0",12.34
City of Opelika - (AL),AL,Municipal,"2,371","223,504","26,160.0",11.70
City of Russellville - (AL),AL,Municipal,"1,204","61,920","8,390.0",13.55
City of Scottsboro - (AL),AL,Municipal,"1,639","120,941","14,370.0",11.88
City of Tarrant,AL,Municipal,622,"28,809","4,044.0",14.04
City of Troy - (AL),AL,Municipal,"1,476","41,258","3,779.4",9.16
City of Tuscumbia,AL,Municipal,944,"28,542","3,736.0",13.09
Clarke-Washington E M C,AL,Cooperative,"1,793","38,074","5,615.0",14.75
Coosa Valley Electric Coop Inc,AL,Cooperative,"2,693","31,744","6,073.0",19.13
"Covington Electric Coop, Inc",AL,Cooperative,"1,394","65,311","8,821.7",13.51
"Cullman Electric Coop, Inc",AL,Cooperative,"8,619","244,981","34,728.0",14.18
Cullman Power Board,AL,Municipal,"2,026","164,614","20,169.0",12.25
Decatur Utilities,AL,Municipal,"4,104","304,667","33,558.0",11.01
Diverse Power Incorporated,AL,Cooperative,97,"1,020",220.2,21.59
Dixie Electric Coop - (AL),AL,Cooperative,"4,697","187,587","27,355.0",14.58
Foley Board of Utilities,AL,Municipal,"7,313","460,537","54,280.0",11.79
Fort Payne Improvement Authority,AL,Municipal,"2,056","134,765","16,208.0",12.03
Franklin Electric Coop - (AL),AL,Cooperative,"2,012","188,087","18,377.0",9.77
Guntersville Electric Board,AL,Municipal,"2,042","90,107","11,542.0",12.81
Joe Wheeler Elec Member Corp,AL,Cooperative,"9,140","326,951","46,185.0",14.13
Marshall-De Kalb Electric Coop,AL,Cooperative,"4,055","177,757","22,649.0",12.74
North Alabama Electric Coop,AL,Cooperative,"6,410","113,566","16,840.0",14.83
Pea River Electric Coop,AL,Cooperative,"4,835","97,901","16,633.9",16.99
Sand Mountain Electric Coop,AL,Cooperative,"6,299","179,227","24,381.0",13.60
Sheffield Utilities,AL,Municipal,"3,895","142,637","20,201.0",14.16
Singing River Elec Cooperative,AL,Cooperative,16,640,78.9,12.33
"South Alabama Elec Coop, Inc",AL,Cooperative,901,"49,152","7,082.0",14.41
"Southern Pine Elec Coop, Inc",AL,Cooperative,"1,994","174,656","19,768.0",11.32
Tallapoosa River Elec Coop Inc,AL,Cooperative,952,"52,727","6,810.5",12.92
Tennessee Valley Authority,AL,Federal,1,"415,329","30,037.8",7.23
"Wiregrass Electric Coop, Inc",AL,Cooperative,"4,697","80,675","11,978.0",14.85
Arkansas Valley Elec Coop Corp,AR,Cooperative,"4,147","186,217","22,508.1",12.09
C & L Electric Coop Corp,AR,Cooperative,"2,251","98,700","12,694.0",12.86
Carroll Electric Coop Corp - (AR),AR,Cooperative,"6,914","443,350","45,662.0",10.30
City Water and Light Plant,AR,Municipal,"5,616","324,371","21,964.0",6.77
City of Benton - (AR),AR,Municipal,"1,777","89,129","8,044.0",9.03
City of Bentonville - (AR),AR,Municipal,"3,921","448,206","40,564.0",9.05
City of Hope - (AR),AR,Municipal,"1,099","110,380","12,317.0",11.16
City of North Little Rock - (AR),AR,Municipal,"4,886","196,936","23,588.0",11.98
City of Siloam Springs - (AR),AR,Municipal,954,"20,916","2,708.0",12.95
City of West Memphis - (AR),AR,Municipal,"1,509","99,222","8,557.0",8.62
Clarksville Connected Utilities,AR,Municipal,716,"35,537","3,714.7",10.45
Clay County Electric Coop Corp - (AR),AR,Cooperative,"2,779","83,420","11,892.7",14.26
Conway Corporation,AR,Municipal,"3,161","257,739","20,236.2",7.85
Craighead Electric Coop Corp,AR,Cooperative,"6,243","122,431","15,863.0",12.96
Empire District Electric Co,AR,Investor Owned,829,"41,003","4,109.2",10.02
Entergy Arkansas LLC,AR,Investor Owned,"100,665","5,782,232","590,191.0",10.21
First Electric Coop Corp,AR,Cooperative,"7,003","225,602","36,452.0",16.16
Greenbacker Renewable Energy Corporation,AR,Behind the Meter,3,"4,063",250.0,6.15
Mississippi County Electric Co,AR,Cooperative,779,"16,187","1,409.0",8.70
"North Arkansas Elec Coop, Inc",AR,Cooperative,"2,614","106,787","11,834.9",11.08
Oklahoma Gas & Electric Co,AR,Investor Owned,"11,422","813,309","81,253.5",9.99
Ouachita Electric Coop Corp,AR,Cooperative,614,"24,247","2,870.0",11.84
Ozarks Electric Coop Corp - (AR),AR,Cooperative,"5,234","342,357","42,990.0",12.56
Paragould Municipal Utilities,AR,Municipal,"1,864","87,033","8,158.0",9.37
Petit Jean Electric Coop Corp,AR,Cooperative,"2,131","68,557","9,656.0",14.08
"South Central Ark El Coop, Inc",AR,Cooperative,"1,247","31,177","4,672.0",14.99
Southwest Arkansas E C C,AR,Cooperative,"3,012","139,778","15,641.4",11.19
Southwestern Electric Power Co,AR,Investor Owned,"18,913","1,260,239","114,933.6",9.12
Woodruff Electric Coop Corp,AR,Cooperative,"1,533","137,507","13,508.7",9.82
"Ahana Renewables, LLC",AZ,Behind the Meter,2,572,79.2,13.85
Ajo Improvement Co,AZ,Investor Owned,210,"3,315",379.2,11.44
Ak-Chin Electric Utility Authority,AZ,State,116,"35,199","3,110.7",8.84
Arizona Public Service Co,AZ,Investor Owned,"141,345","16,070,942","2,125,533.6",13.23
City of Mesa - (AZ),AZ,Municipal,"2,770","167,792","23,503.2",14.01
"Constellation Solar Holding, LLC",AZ,Behind the Meter,9,"74,411","7,974.9",10.72
"Dixie Escalante R E A, Inc",AZ,Cooperative,355,"13,744","1,233.1",8.97
Electrical Dist No2 Pinal County,AZ,Political Subdivision,"1,014","147,044","12,446.0",8.46
Electrical Dist No3 Pinal County,AZ,Political Subdivision,"2,106","192,543","24,108.7",12.52
"Garkane Energy Coop, Inc",AZ,Cooperative,412,"19,113","2,025.2",10.60
Gila River Indian Utility Authority (GRICUA),AZ,Cooperative,751,"231,658","29,047.0",12.54
Greenbacker Renewable Energy Corporation,AZ,Behind the Meter,4,"1,289",78.6,6.10
"Mohave Electric Cooperative, Inc.",AZ,Cooperative,"4,502","225,019","24,201.4",10.76
Morenci Water and Electric,AZ,Investor Owned,396,"16,742","1,787.2",10.67
Navajo Tribal Utility Authority,AZ,State,"3,330","206,972","36,048.0",17.42
"Navopache Electric Coop, Inc",AZ,Cooperative,"3,639","69,447","7,857.0",11.31
Salt River Project,AZ,Political Subdivision,"112,637","13,767,916","1,481,943.0",10.76
Sulphur Springs Valley E C Inc,AZ,Cooperative,"8,388","477,743","51,295.2",10.74
"TerraForm US Energy Services, LLC",AZ,Behind the Meter,29,"16,628","1,846.0",11.10
Tesla Inc.,AZ,Behind the Meter,831,"71,463","5,442.6",7.62
Trico Electric Cooperative Inc,AZ,Cooperative,"2,376","235,687","29,248.8",12.41
Tucson Electric Power Co,AZ,Investor Owned,"41,903","1,970,104","306,959.0",15.58
"UNS Electric, Inc",AZ,Investor Owned,"12,287","736,251","112,101.0",15.23
USBIA-San Carlos Project,AZ,Federal,"1,907","97,721","17,526.0",17.93
WAPA-- Western Area Power Administration,AZ,Federal,15,"81,254","2,149.9",2.65
"Ahana Renewables, LLC",CA,Behind the Meter,16,"6,223","1,523.8",24.49
Alameda Municipal Power,CA,Municipal,"4,052","216,203","43,430.5",20.09
Bear Valley Electric Service,CA,Investor Owned,"1,485","33,935","9,982.0",29.42
City & County of San Francisco,CA,Municipal,291,"743,836","137,259.1",18.45
City of Anaheim - (CA),CA,Municipal,"17,557","725,751","128,635.0",17.72
City of Azusa,CA,Municipal,"1,957","83,492","15,699.0",18.80
City of Burbank Water and Power,CA,Municipal,"6,998","683,972","123,658.0",18.08
City of Colton - (CA),CA,Municipal,"2,313","68,352","27,568.1",40.33
City of Corona - (CA),CA,Municipal,548,"45,845","6,479.2",14.13
City of Escondido - (CA),CA,Municipal,1,"4,155",215.0,5.17
City of Glendale - (CA),CA,Municipal,"13,395","576,711","143,675.8",24.91
City of Lodi - (CA),CA,Municipal,"2,165","167,813","33,076.3",19.71
City of Moreno Valley - (CA),CA,Municipal,998,"164,012","41,508.0",25.31
City of Palo Alto - (CA),CA,Municipal,"3,526","619,338","105,108.0",16.97
City of Pasadena - (CA),CA,Municipal,"8,507","667,164","156,460.1",23.45
City of Redding - (CA),CA,Municipal,"5,977","363,092","64,934.0",17.88
City of Riverside - (CA),CA,Municipal,"12,243","445,358","85,084.0",19.10
City of Roseville - (CA),CA,Municipal,"7,394","446,943","74,650.8",16.70
City of Santa Clara - (CA),CA,Municipal,"7,153","130,095","28,715.0",22.07
City of Shasta Lake - (CA),CA,Municipal,315,"11,756","2,300.0",19.56
City of Vernon,CA,Municipal,"1,222","395,921","88,339.7",22.31
"Constellation Solar Holding, LLC",CA,Behind the Meter,28,"85,070","15,252.3",17.93
Greenbacker Renewable Energy Corporation,CA,Behind the Meter,16,"15,071","1,158.0",7.68
"Greenskies Renewable Energy, LLC",CA,Behind the Meter,4,"17,498","1,704.1",9.74
Imperial Irrigation District,CA,Political Subdivision,"21,915","1,581,503","288,059.0",18.21
Kings River Conservation Dist,CA,Political Subdivision,1,"450,755","3,623.4",0.80
Liberty Utilities,CA,Investor Owned,"6,128","279,823","72,586.2",25.94
Los Angeles Department of Water & Power,CA,Municipal,"91,304","11,978,429","2,629,825.0",21.95
Merced Irrigation District,CA,Political Subdivision,"1,678","262,208","50,705.7",19.34
Modesto Irrigation District,CA,Political Subdivision,"29,728","855,244","146,788.0",17.16
PacifiCorp,CA,Investor Owned,"7,604","239,124","45,632.8",19.08
Pacific Gas & Electric Co.,CA,Investor Owned,"213,729","8,159,051","3,219,777.0",39.46
Sacramento Municipal Util Dist,CA,Political Subdivision,"71,160","4,150,764","676,029.4",16.29
San Diego Gas & Electric Co,CA,Investor Owned,"34,342","1,237,280","439,773.5",35.54
"Scale Sustainable I, LLC",CA,Behind the Meter,2,"2,185",423.0,19.36
Southern California Edison Co,CA,Investor Owned,"449,347","28,534,149","6,588,907.0",23.09
Surprise Valley Electrification,CA,Cooperative,994,"10,252","1,406.3",13.72
"TerraForm US Energy Services, LLC",CA,Behind the Meter,81,"31,551","5,607.0",17.77
Tesla Inc.,CA,Behind the Meter,"6,361","321,469","45,613.0",14.19
Turlock Irrigation District,CA,Political Subdivision,"8,945","547,752","74,285.0",13.56
"Valley Electric Assn, Inc",CA,Cooperative,2,4,1.8,45.00
WAPA-- Western Area Power Administration,CA,Federal,46,"1,767,561","81,481.5",4.61
"Ahana Renewables, LLC",CO,Behind the Meter,9,"1,009",138.3,13.71
"Black Hills Colorado Electric, LLC",CO,Investor Owned,"12,411","857,046","103,298.0",12.05
CORE Electric Cooperative,CO,Cooperative,"15,744","856,370","105,069.1",12.27
City of Colorado Springs - (CO),CO,Municipal,"42,408","1,224,952","117,136.0",9.56
City of Fort Collins - (CO),CO,Municipal,"9,174","478,265","55,003.0",11.50
City of Fort Morgan,CO,Municipal,"1,134","127,267","12,182.3",9.57
City of Fountain,CO,Municipal,"1,048","83,657","9,803.0",11.72
City of Longmont,CO,Municipal,"2,873","341,771","37,722.0",11.04
City of Loveland - (CO),CO,Municipal,"4,992","103,458","14,706.9",14.22
Delta Montrose Electric Assn,CO,Cooperative,"4,053","143,282","16,678.8",11.64
"Empire Electric Assn, Inc",CO,Cooperative,"2,824","146,168","15,833.0",10.83
Grand Valley Power,CO,Cooperative,"2,230","73,225","10,141.0",13.85
Greenbacker Renewable Energy Corporation,CO,Behind the Meter,29,"6,877",378.0,5.50
"Greenskies Renewable Energy, LLC",CO,Behind the Meter,1,"1,855",70.8,3.82
"High West Energy, Inc",CO,Cooperative,19,"3,235",362.8,11.21
Highline Electric Assn,CO,Cooperative,"1,398","56,626","7,561.0",13.35
"Holy Cross Electric Assn, Inc",CO,Cooperative,"11,196","521,102","52,321.0",10.04
K C Electric Association,CO,Cooperative,"2,560","121,498","15,200.8",12.51
"La Plata Electric Assn, Inc",CO,Cooperative,"6,839","252,265","32,002.0",12.69
Moon Lake Electric Assn Inc,CO,Cooperative,560,"19,812","1,776.2",8.97
Morgan County Rural Elec Assn,CO,Cooperative,"2,122","255,922","25,230.7",9.86
"Mountain Parks Electric, Inc",CO,Cooperative,"3,568","130,744","16,077.0",12.30
"Mountain View Elec Assn, Inc",CO,Cooperative,"4,445","200,506","26,288.5",13.11
"Poudre Valley REA, Inc",CO,Cooperative,"5,014","426,421","47,535.9",11.15
Public Service Co of Colorado,CO,Investor Owned,"224,348","12,655,120","1,498,938.1",11.84
"San Isabel Electric Assn, Inc",CO,Cooperative,"2,745","85,835","13,809.0",16.09
"San Luis Valley R E C, Inc",CO,Cooperative,"1,586","52,066","7,130.0",13.69
"San Miguel Power Assn, Inc",CO,Cooperative,"2,616","96,510","12,957.0",13.43
"Scale Sustainable I, LLC",CO,Behind the Meter,4,"3,209",332.0,10.35
Southeast Colorado Power Assn,CO,Cooperative,"2,766","136,010","17,652.0",12.98
Southwestern Electric Coop Inc - (NM),CO,Cooperative,2,27,5.1,18.89
"TerraForm US Energy Services, LLC",CO,Behind the Meter,13,"1,747",101.0,5.78
Tesla Inc.,CO,Behind the Meter,"1,001","18,735","1,805.5",9.64
"Tri-County Electric Coop, Inc (OK)",CO,Cooperative,46,147,27.6,18.78
"United Power, Inc",CO,Cooperative,"11,980","655,929","82,783.0",12.62
WAPA-- Western Area Power Administration,CO,Federal,6,"51,074","1,508.5",2.95
"Wheatland Electric Coop, Inc",CO,Cooperative,28,675,116.0,17.19
"White River Electric Assn, Inc",CO,Cooperative,759,"27,891","3,339.7",11.97
Y-W Electric Assn Inc,CO,Cooperative,"2,277","164,892","16,812.0",10.20
Yampa Valley Electric Assn Inc,CO,Cooperative,"4,518","127,827","16,839.2",13.17
Bozrah Light & Power Company,CT,Municipal,381,"8,162","1,704.0",20.88
City of Norwich - (CT),CT,Municipal,"2,014","127,341","25,862.2",20.31
Connecticut Light & Power Co,CT,Investor Owned,"72,531","1,811,852","411,945.2",22.74
"Constellation Solar Holding, LLC",CT,Behind the Meter,1,436,52.3,12.00
Greenbacker Renewable Energy Corporation,CT,Behind the Meter,3,676,161.0,23.82
"Greenskies Renewable Energy, LLC",CT,Behind the Meter,29,"65,816","4,137.0",6.29
Groton Dept of Utilities - (CT),CT,Municipal,"1,588","94,527","17,000.5",17.98
"TerraForm US Energy Services, LLC",CT,Behind the Meter,6,"1,272",172.0,13.52
Tesla Inc.,CT,Behind the Meter,848,"14,768","1,511.0",10.23
Town of Wallingford - (CT),CT,Municipal,"3,670","216,797","27,797.0",12.82
United Illuminating Co,CT,Investor Owned,"16,864","573,751","139,232.5",24.27
"Ahana Renewables, LLC",DC,Behind the Meter,1,155,7.5,4.84
"Constellation Solar Holding, LLC",DC,Behind the Meter,2,"1,038",62.5,6.02
Potomac Electric Power Co,DC,Investor Owned,"18,544","1,176,842","235,079.7",19.98
