2024 Utility Bundled Retail Sales- Commercial,,,,,,
(Data from forms EIA-861- schedules 4A & 4D and EIA-861S),,,,,,
Entity,State,Ownership,Customers (Count),Sales (Megawatthours),Revenues (Thousands Dollars),Average Price (cents/kWh)
Chariot Energy,TX,Retail Power Marketer,"1,392","87,637","14,819.3",16.91
Cherokee County Elec Coop Assn - (TX),TX,Cooperative,"1,739","58,533","8,396.0",14.34
City of Brenham - (TX),TX,Municipal,"1,359","79,152","7,280.3",9.20
City of Bryan - (TX),TX,Municipal,"10,387","665,412","63,628.0",9.56
City of College Station - (TX),TX,Municipal,"4,054","456,623","59,496.0",13.03
City of Denton - (TX),TX,Municipal,"7,516","1,241,113","48,485.6",3.91
City of Floresville,TX,Municipal,"2,118","129,723","16,773.3",12.93
City of Garland - (TX),TX,Municipal,"6,908","809,954","100,348.0",12.39
City of Georgetown - (TX),TX,Municipal,"3,124","347,997","38,060.9",10.94
City of Greenville - (TX),TX,Municipal,"2,274","351,199","35,430.0",10.09
City of Lubbock - (TX),TX,Municipal,788,"320,854","34,716.0",10.82
City of New Braunfels - (TX),TX,Municipal,"6,470","482,519","58,920.0",12.21
City of San Antonio - (TX),TX,Municipal,"96,322","13,566,138","1,366,184.6",10.07
City of San Marcos - (TX),TX,Municipal,"3,761","399,413","41,801.0",10.47
City of Seguin - (TX),TX,Municipal,"1,477","111,444","11,618.0",10.42
Comanche County Elec Coop Assn,TX,Cooperative,"10,698","430,743","27,085.0",6.29
Concho Valley Elec Coop Inc,TX,Cooperative,"2,213","25,895","3,766.7",14.55
ConocoPhillips Company,TX,Retail Power Marketer,1,"19,631","1,031.8",5.26
"Constellation NewEnergy, Inc",TX,Retail Power Marketer,"56,492","9,063,868","687,079.4",7.58
Cooke County Elec Coop Assn,TX,Cooperative,"2,105","126,177","15,023.0",11.91
David Energy Supply LLC,TX,Retail Power Marketer,87,"16,262","1,683.5",10.35
"Deaf Smith Electric Coop, Inc",TX,Cooperative,"1,522","150,741","8,108.4",5.38
Declaration Energy LLC,TX,Retail Power Marketer,"1,684","6,098","1,019.8",16.72
Deep East Texas Elec Coop Inc,TX,Cooperative,"4,924","203,246","24,234.0",11.92
"Denton County Elec Coop, Inc",TX,Cooperative,"22,050","653,218","93,048.1",14.24
Direct Energy Business,TX,Retail Power Marketer,"33,159","5,827,724","580,741.6",9.97
Direct Energy Services,TX,Retail Power Marketer,"17,209","224,240","36,703.3",16.37
ENGIE Resources LLC,TX,Retail Power Marketer,"14,695","11,954,704","945,456.5",7.91
El Paso Electric Co,TX,Investor Owned,"39,468","3,191,326","298,425.0",9.35
Entergy Texas Inc.,TX,Investor Owned,"55,766","5,140,970","493,772.9",9.60
Fannin County Electric Coop,TX,Cooperative,429,"59,069","6,779.0",11.48
"Farmers Electric Coop, Inc - (TX)",TX,Cooperative,"16,330","253,915","27,708.0",10.91
"Fayette Electric Coop, Inc",TX,Cooperative,"2,064","66,480","7,967.0",11.98
"FlowX, LLC",TX,Retail Power Marketer,2,"149,784","4,388.0",2.93
Freepoint Energy Solutions LLC,TX,Retail Power Marketer,"2,474","1,787,843","188,807.0",10.56
"Frontier Utilities, LLC",TX,Retail Power Marketer,492,"33,050","5,673.8",17.17
"Gexa Energy, LP",TX,Retail Power Marketer,"67,920","8,342,871","611,223.4",7.33
