DATA_CENTER_BUILDING_NAME,PROVIDER_NAME,Company_Size,TOT_POWER_MW,County,county_population,county_population_density,county_median_household_income,county_electricity_generation_GWh_04_25_to_04_26,county_commercial_electricity_consumption_mmbtu,county_commercial_natural_gas_consumption_mmbtu,Annual_Water_Volume_Million_Gallons
Amazon AWS IAD - 10301 Tanner Building 2,Amazon AWS,1576000,60.0,Loudoun County,432998.0,883.234496124031,181765.0,4800.0,11569533.5860183,4670980.2717071,96.84187700000000
Amazon AWS IAD - 10281 Tanner Building 3,Amazon AWS,1576000,60.0,Loudoun County,432998.0,883.234496124031,181765.0,4800.0,11569533.5860183,4670980.2717071,96.84187700000000
Amazon AWS IAD - 10261 Tanner Building 4,Amazon AWS,1576000,40.0,Loudoun County,432998.0,883.234496124031,181765.0,4800.0,11569533.5860183,4670980.2717071,96.84187700000000
Amazon AWS IAD - 23825 Erins Building 1,Amazon AWS,1576000,45.0,Loudoun County,432998.0,883.234496124031,181765.0,4800.0,11569533.5860183,4670980.2717071,96.84187700000000
Amazon AWS IAD - 23825 Erins Building 2,Amazon AWS,1576000,35.0,Loudoun County,432998.0,883.234496124031,181765.0,4800.0,11569533.5860183,4670980.2717071,96.84187700000000
Amazon AWS IAD - 23825 Erins Building 3,Amazon AWS,1576000,35.0,Loudoun County,432998.0,883.234496124031,181765.0,4800.0,11569533.5860183,4670980.2717071,96.84187700000000
Amazon AWS IAD - 25311 Prediction Building 4,Amazon AWS,1576000,35.0,Loudoun County,432998.0,883.234496124031,181765.0,4800.0,11569533.5860183,4670980.2717071,96.84187700000000
Amazon AWS IAD - 25316 Prediction Building 3,Amazon AWS,1576000,35.0,Loudoun County,432998.0,883.234496124031,181765.0,4800.0,11569533.5860183,4670980.2717071,96.84187700000000
Amazon AWS IAD - 43701 Clubber Building 2,Amazon AWS,1576000,27.5,Loudoun County,432998.0,883.234496124031,181765.0,4800.0,11569533.5860183,4670980.2717071,96.84187700000000
Amazon AWS IAD - 43736 Clubber Building 1,Amazon AWS,1576000,30.0,Loudoun County,432998.0,883.234496124031,181765.0,4800.0,11569533.5860183,4670980.2717071,96.84187700000000
Amazon AWS IAD - 25316 Prediction Building 5,Amazon AWS,1576000,35.0,Loudoun County,432998.0,883.234496124031,181765.0,4800.0,11569533.5860183,4670980.2717071,96.84187700000000
Amazon AWS IAD - Willard Building 1,Amazon AWS,1576000,60.0,Loudoun County,432998.0,883.234496124031,181765.0,4800.0,11569533.5860183,4670980.2717071,96.84187700000000
Amazon AWS IAD - 25420 Sutton Bay Building 3,Amazon AWS,1576000,35.0,Loudoun County,432998.0,883.234496124031,181765.0,4800.0,11569533.5860183,4670980.2717071,96.84187700000000
Amazon AWS IAD - 25410 Sutton Bay Building 2,Amazon AWS,1576000,35.0,Loudoun County,432998.0,883.234496124031,181765.0,4800.0,11569533.5860183,4670980.2717071,96.84187700000000
AWS Cosner Building 1,Amazon AWS,1576000,60.0,Fredericksburg City,28873.0,3080.1,86071.0,,1704779.72769273,853008.375332929,
Amazon AWS IAD - 25430 Sutton Bay Building 1,Amazon AWS,1576000,50.0,Loudoun County,432998.0,883.234496124031,181765.0,4800.0,11569533.5860183,4670980.2717071,96.84187700000000
Amazon IAD - Import Building 2,Amazon AWS,1576000,60.0,Loudoun County,432998.0,883.234496124031,181765.0,4800.0,11569533.5860183,4670980.2717071,96.84187700000000
Amazon IAD - Import Building 1,Amazon AWS,1576000,60.0,Loudoun County,432998.0,883.234496124031,181765.0,4800.0,11569533.5860183,4670980.2717071,96.84187700000000
Amazon IAD - Import Building 3,Amazon AWS,1576000,5.6475,Loudoun County,432998.0,883.234496124031,181765.0,4800.0,11569533.5860183,4670980.2717071,96.84187700000000
Amazon AWS IAD -  Smith Building 1,Amazon AWS,1576000,60.0,Loudoun County,432998.0,883.234496124031,181765.0,4800.0,11569533.5860183,4670980.2717071,96.84187700000000
Amazon AWS IAD -  Smith Building 2,Amazon AWS,1576000,27.5,Loudoun County,432998.0,883.234496124031,181765.0,4800.0,11569533.5860183,4670980.2717071,96.84187700000000
Amazon AWS IAD -  Smith Building 3,Amazon AWS,1576000,27.5,Loudoun County,432998.0,883.234496124031,181765.0,4800.0,11569533.5860183,4670980.2717071,96.84187700000000
Amazon AWS IAD - Mallory Building 2,Amazon AWS,1576000,50.0,Loudoun County,432998.0,883.234496124031,181765.0,4800.0,11569533.5860183,4670980.2717071,96.84187700000000
Amazon AWS IAD - 4101 Westfax,Amazon AWS,1576000,10.0,Fairfax County,1147837.0,3007.51918158568,153637.0,730.3,32056382.3179303,11893697.8251472,2682.082984090910
Amazon AWS IAD - 4100 Westfax,Amazon AWS,1576000,17.5,Fairfax County,1147837.0,3007.51918158568,153637.0,730.3,32056382.3179303,11893697.8251472,2682.082984090910
Amazon AWS IAD - 44854 Interconnection,Amazon AWS,1576000,27.5,Loudoun County,432998.0,883.234496124031,181765.0,4800.0,11569533.5860183,4670980.2717071,96.84187700000000
Amazon AWS IAD - Mallory Building 1,Amazon AWS,1576000,50.0,Loudoun County,432998.0,883.234496124031,181765.0,4800.0,11569533.5860183,4670980.2717071,96.84187700000000
Amazon AWS IAD - 20945 Loudoun,Amazon AWS,1576000,25.0,Loudoun County,432998.0,883.234496124031,181765.0,4800.0,11569533.5860183,4670980.2717071,96.84187700000000
Amazon AWS IAD - 44858 Interconnection,Amazon AWS,1576000,27.5,Loudoun County,432998.0,883.234496124031,181765.0,4800.0,11569533.5860183,4670980.2717071,96.84187700000000
Amazon AWS IAD - 22520 Randolph,Amazon AWS,1576000,30.0,Loudoun County,432998.0,883.234496124031,181765.0,4800.0,11569533.5860183,4670980.2717071,96.84187700000000
Amazon AWS IAD - 20935 Loudoun,Amazon AWS,1576000,35.0,Loudoun County,432998.0,883.234496124031,181765.0,4800.0,11569533.5860183,4670980.2717071,96.84187700000000
Amazon AWS IAD - 44862 Interconnection,Amazon AWS,1576000,30.0,Fairfax County,1147837.0,3007.51918158568,153637.0,730.3,32056382.3179303,11893697.8251472,2682.082984090910
AWS IAD 230,Amazon AWS,1576000,60.0,Loudoun County,432998.0,883.234496124031,181765.0,4800.0,11569533.5860183,4670980.2717071,96.84187700000000
Amazon AWS IAD -Dulles Building 2,Amazon AWS,1576000,17.5,Loudoun County,432998.0,883.234496124031,181765.0,4800.0,11569533.5860183,4670980.2717071,96.84187700000000
Amazon AWS IAD -Dulles Building 1,Amazon AWS,1576000,27.5,Loudoun County,432998.0,883.234496124031,181765.0,4800.0,11569533.5860183,4670980.2717071,96.84187700000000
Amazon AWS IAD - 22630 Dulles,Amazon AWS,1576000,45.0,Loudoun County,432998.0,883.234496124031,181765.0,4800.0,11569533.5860183,4670980.2717071,96.84187700000000
Amazon AWS IAD - 22755 Relocation Building 2,Amazon AWS,1576000,35.0,Loudoun County,432998.0,883.234496124031,181765.0,4800.0,11569533.5860183,4670980.2717071,96.84187700000000
Amazon AWS IAD - 22745 Relocation Building 1,Amazon AWS,1576000,40.0,Loudoun County,432998.0,883.234496124031,181765.0,4800.0,11569533.5860183,4670980.2717071,96.84187700000000
Amazon AWS IAD - 45111 Loudoun Building 2,Amazon AWS,1576000,27.5,Loudoun County,432998.0,883.234496124031,181765.0,4800.0,11569533.5860183,4670980.2717071,96.84187700000000
Amazon AWS IAD - 45110 Loudoun Building 1,Amazon AWS,1576000,30.0,Loudoun County,432998.0,883.234496124031,181765.0,4800.0,11569533.5860183,4670980.2717071,96.84187700000000
Amazon AWS IAD - 21645 Charles View Building 2,Amazon AWS,1576000,55.0,Loudoun County,432998.0,883.234496124031,181765.0,4800.0,11569533.5860183,4670980.2717071,96.84187700000000
Amazon AWS IAD - 21641 Charles View Building 1,Amazon AWS,1576000,45.0,Loudoun County,432998.0,883.234496124031,181765.0,4800.0,11569533.5860183,4670980.2717071,96.84187700000000
Amazon AWS IAD - 21660 Charles View Building 3,Amazon AWS,1576000,45.0,Loudoun County,432998.0,883.234496124031,181765.0,4800.0,11569533.5860183,4670980.2717071,96.84187700000000
Amazon AWS IAD - 45210 Prologis,Amazon AWS,1576000,17.5,Loudoun County,432998.0,883.234496124031,181765.0,4800.0,11569533.5860183,4670980.2717071,96.84187700000000
Amazon AWS IAD - 45220 Prologis,Amazon AWS,1576000,17.5,Loudoun County,432998.0,883.234496124031,181765.0,4800.0,11569533.5860183,4670980.2717071,96.84187700000000
Amazon AWS IAD - 22370 Kipper,Amazon AWS,1576000,45.0,Loudoun County,432998.0,883.234496124031,181765.0,4800.0,11569533.5860183,4670980.2717071,96.84187700000000
Amazon AWS IAD - 22420 Kipper,Amazon AWS,1576000,45.0,Loudoun County,432998.0,883.234496124031,181765.0,4800.0,11569533.5860183,4670980.2717071,96.84187700000000
Amazon AWS IAD -  Severn Building 4,Amazon AWS,1576000,5.0,Loudoun County,432998.0,883.234496124031,181765.0,4800.0,11569533.5860183,4670980.2717071,96.84187700000000
Amazon AWS IAD -  Severn Building 3,Amazon AWS,1576000,27.5,Loudoun County,432998.0,883.234496124031,181765.0,4800.0,11569533.5860183,4670980.2717071,96.84187700000000
Amazon AWS IAD - Severn Building 2,Amazon AWS,1576000,27.5,Loudoun County,432998.0,883.234496124031,181765.0,4800.0,11569533.5860183,4670980.2717071,96.84187700000000
Amazon AWS IAD - Severn Building 1,Amazon AWS,1576000,25.0,Loudoun County,432998.0,883.234496124031,181765.0,4800.0,11569533.5860183,4670980.2717071,96.84187700000000
Amazon AWS IAD - 21205 Atlantic Blvd,Amazon AWS,1576000,60.0,Loudoun County,432998.0,883.234496124031,181765.0,4800.0,11569533.5860183,4670980.2717071,96.84187700000000
Amazon AWS IAD - 21195 Atlantic Blvd,Amazon AWS,1576000,60.0,Loudoun County,432998.0,883.234496124031,181765.0,4800.0,11569533.5860183,4670980.2717071,96.84187700000000
Amazon AWS IAD - 21215 Atlantic Blvd,Amazon AWS,1576000,57.5234595959596,Loudoun County,432998.0,883.234496124031,181765.0,4800.0,11569533.5860183,4670980.2717071,96.84187700000000
Amazon AWS IAD - 13600 EDS Building 2,Amazon AWS,1576000,60.0,Loudoun County,432998.0,883.234496124031,181765.0,4800.0,11569533.5860183,4670980.2717071,96.84187700000000
Amazon AWS IAD - 22945 International Building 1,Amazon AWS,1576000,27.5,Loudoun County,432998.0,883.234496124031,181765.0,4800.0,11569533.5860183,4670980.2717071,96.84187700000000
Amazon AWS IAD - 13600 EDS Building 3,Amazon AWS,1576000,60.0,Loudoun County,432998.0,883.234496124031,181765.0,4800.0,11569533.5860183,4670980.2717071,96.84187700000000
Amazon AWS IAD - 13600 EDS Building 1,Amazon AWS,1576000,60.0,Loudoun County,432998.0,883.234496124031,181765.0,4800.0,11569533.5860183,4670980.2717071,96.84187700000000
Amazon AWS IAD - 23005 International Building 3,Amazon AWS,1576000,35.0,Loudoun County,432998.0,883.234496124031,181765.0,4800.0,11569533.5860183,4670980.2717071,96.84187700000000
Amazon AWS IAD - 22868 International Building 2,Amazon AWS,1576000,42.5,Loudoun County,432998.0,883.234496124031,181765.0,4800.0,11569533.5860183,4670980.2717071,96.84187700000000
IAD 117 AWS Data Center,Amazon AWS,1576000,45.0,Loudoun County,432998.0,883.234496124031,181765.0,4800.0,11569533.5860183,4670980.2717071,96.84187700000000
Amazon AWS IAD - 22900 Platform Building 4,Amazon AWS,1576000,35.0,Loudoun County,432998.0,883.234496124031,181765.0,4800.0,11569533.5860183,4670980.2717071,96.84187700000000
IAD 116 AWS Data Center,Amazon AWS,1576000,45.0,Loudoun County,432998.0,883.234496124031,181765.0,4800.0,11569533.5860183,4670980.2717071,96.84187700000000
Amazon AWS IAD - 22900 Platform Building 3,Amazon AWS,1576000,35.0,Loudoun County,432998.0,883.234496124031,181765.0,4800.0,11569533.5860183,4670980.2717071,96.84187700000000
Amazon AWS IAD - 22900 Platform Building 2,Amazon AWS,1576000,50.0,Loudoun County,432998.0,883.234496124031,181765.0,4800.0,11569533.5860183,4670980.2717071,96.84187700000000
Amazon AWS IAD - 22890 Platform Building 1,Amazon AWS,1576000,50.0,Loudoun County,432998.0,883.234496124031,181765.0,4800.0,11569533.5860183,4670980.2717071,96.84187700000000
Amazon AWS IAD - 45900 Pathfinder Building 1,Amazon AWS,1576000,27.5,Loudoun County,432998.0,883.234496124031,181765.0,4800.0,11569533.5860183,4670980.2717071,96.84187700000000
Amazon AWS IAD - 45930 Pathfinder Building 2,Amazon AWS,1576000,27.5,Loudoun County,432998.0,883.234496124031,181765.0,4800.0,11569533.5860183,4670980.2717071,96.84187700000000
Amazon AWS IAD - 45950 Pathfinder Building 3,Amazon AWS,1576000,27.5,Loudoun County,432998.0,883.234496124031,181765.0,4800.0,11569533.5860183,4670980.2717071,96.84187700000000
IAD4 A - Ashburn Data Center,Centersquare,200,10.0,Loudoun County,432998.0,883.234496124031,181765.0,4800.0,11569533.5860183,4670980.2717071,96.84187700000000
IAD4 B - Ashburn Data Center,Centersquare,200,10.0,Loudoun County,432998.0,883.234496124031,181765.0,4800.0,11569533.5860183,4670980.2717071,96.84187700000000
IAD3 Dulles Data Center,Centersquare,200,4.0,Loudoun County,432998.0,883.234496124031,181765.0,4800.0,11569533.5860183,4670980.2717071,96.84187700000000
IAD2 B - Sterling Data Center,Centersquare,200,4.0,Loudoun County,432998.0,883.234496124031,181765.0,4800.0,11569533.5860183,4670980.2717071,96.84187700000000
IAD2 A - Sterling Data Center,Centersquare,200,16.0,Loudoun County,432998.0,883.234496124031,181765.0,4800.0,11569533.5860183,4670980.2717071,96.84187700000000
IAD1 B -  Sterling Data Center Campus,Centersquare,200,9.0,Fairfax County,1147837.0,3007.51918158568,153637.0,730.3,32056382.3179303,11893697.8251472,2682.082984090910
IAD1 A -  Sterling Data Center Campus,Centersquare,200,9.0,Loudoun County,432998.0,883.234496124031,181765.0,4800.0,11569533.5860183,4670980.2717071,96.84187700000000
IAD1 C -  Sterling Data Center Campus,Centersquare,200,14.0,Loudoun County,432998.0,883.234496124031,181765.0,4800.0,11569533.5860183,4670980.2717071,96.84187700000000
MCC1 Northern Virginia,CloudHQ,500,55.0,Prince William County,488880.0,1515.16417910448,131402.0,2900.0,7050735.87553047,3122210.37711037,2673.7709
MCC2 Northern Virginia,CloudHQ,500,60.0,Loudoun County,432998.0,883.234496124031,181765.0,4800.0,11569533.5860183,4670980.2717071,96.84187700000000
MCC6A Northern Virginia,CloudHQ,500,12.0,Loudoun County,432998.0,883.234496124031,181765.0,4800.0,11569533.5860183,4670980.2717071,96.84187700000000
LC4 Northern Virginia,CloudHQ,500,180.0,Loudoun County,432998.0,883.234496124031,181765.0,4800.0,11569533.5860183,4670980.2717071,96.84187700000000
LC1 Northern Virginia,CloudHQ,500,144.0,Loudoun County,432998.0,883.234496124031,181765.0,4800.0,11569533.5860183,4670980.2717071,96.84187700000000
LC2 Northern Virginia,CloudHQ,500,96.0,Loudoun County,432998.0,883.234496124031,181765.0,4800.0,11569533.5860183,4670980.2717071,96.84187700000000
LC3 Northern Virginia,CloudHQ,500,80.0,Loudoun County,432998.0,883.234496124031,181765.0,4800.0,11569533.5860183,4670980.2717071,96.84187700000000
