DATA_CENTER_BUILDING_NAME,PROVIDER_NAME,TOT_POWER_MW,County
MCC2 Northern Virginia,CloudHQ,60.0,Loudoun County
MCC6A Northern Virginia,CloudHQ,12.0,Loudoun County
LC4 Northern Virginia,CloudHQ,180.0,Loudoun County
LC1 Northern Virginia,CloudHQ,144.0,Loudoun County
LC2 Northern Virginia,CloudHQ,96.0,Loudoun County
LC3 Northern Virginia,CloudHQ,80.0,Loudoun County
Richmond Data Center,Cogent Communications,0.6675,Henrico County
Herndon Data Center,Cogent Communications,,Fairfax County
Vienna Data Center,Cogent Communications,0.5,Fairfax County
ASH1 Ashburn Data Center,Cologix,120.0,Loudoun County
PTP Data Center 1,Company Not Disclosed,32.5,Loudoun County
PTP Data Center 2,Company Not Disclosed,32.5,Prince William County
Loudoun County I  Northern Virginia Building 2,Compass Datacenters,14.0,Loudoun County
Loudoun County I  Northern Virginia Building 1,Compass Datacenters,14.0,Loudoun County
Loudoun County I  Northern Virginia Building 3,Compass Datacenters,13.0,Loudoun County
Loudoun County I  Northern Virginia Building 4,Compass Datacenters,11.0,Loudoun County
Loudoun County I  Northern Virginia Building 5,Compass Datacenters,27.0,Loudoun County
AI Data Center - VA3 Reston ,CoreSite,92.337,Loudoun County
VA1 Reston Data Center,CoreSite,15.623,Loudoun County
VA2 Reston Data Center,CoreSite,15.114,Loudoun County
NVA9 Northern Virginia Data Center,CyrusOne,135.0,Loudoun County
PowerHouse ABX-1,CyrusOne,60.0,Loudoun County
NVA6 Northern Virginia Sterling Data Center,CyrusOne,38.126,Loudoun County
NVA7 Northern Virginia Sterling Data Center,CyrusOne,15.602,Loudoun County
NVA5 Northern Virginia Sterling Data Center,CyrusOne,71.532,Loudoun County
NVA4 Northern Virginia Sterling Data Center,CyrusOne,12.0,Loudoun County
"NVA1, NVA2 & NVA3 Northern Virginia Sterling Data Center",CyrusOne,48.0,Loudoun County
NVA8 Northern Virginia Data Center,CyrusOne,24.0,Loudoun County
IAD3 - Ashburn Campus Data Center,DataBank,40.0,Loudoun County
IAD1 - Ashburn Data Center,DataBank,9.0,Loudoun County
IAD2 - McLean Data Center,DataBank,3.0,Fairfax County
VA4 Bristow Data Center ,Digital Realty,24.769,Prince William County
Digital Realty 9905 Godwin,Digital Realty,9.5707,Prince William County
Data Center 7,Digital Realty,96.0,Loudoun County
Northern Virginia IAD14 Data Center,Digital Realty,12.0,Loudoun County
Northern Virginia IAD23 Data Center,Digital Realty,4.0,Loudoun County
Northern Virginia IAD13 Data Center ,Digital Realty,12.0,Loudoun County
Northern Virginia IAD24 Data Center,Digital Realty,10.0,Loudoun County
Northern Virginia IAD12 Data Center,Digital Realty,16.0,Loudoun County
Northern Virginia IAD35 Data Center,Digital Realty,13.0,Loudoun County
Northern Virginia IAD36 Data Center,Digital Realty,36.0,Loudoun County
Northern Virginia IAD37 Data Center,Digital Realty,44.0,Loudoun County
Northern Virginia IAD38 Data Center,Digital Realty,26.0,Loudoun County
Northern Virginia IAD40 Data Center,Digital Realty,24.138,Loudoun County
Northern Virginia IAD39 Data Center,Digital Realty,87.839,Loudoun County
Northern Virginia ACC9 Data Center,Digital Realty,36.949,Loudoun County
Northern Virginia ACC7 Data Center,Digital Realty,52.092,Loudoun County
Northern Virginia ACC10 Data Center,Digital Realty,30.69,Loudoun County
Northern Virginia ACC6 Data Center,Digital Realty,54.0,Loudoun County
Northern Virginia ACC5 Data Center,Digital Realty,34.0,Loudoun County
Northern Virginia ACC4 Data Center,Digital Realty,36.0,Arlington County
Northern Virginia ACC3 Data Center,Digital Realty,10.758,Prince William County
Northern Virginia ACC2 Data Center,Digital Realty,24.0,Loudoun County
Northern Virginia IAD41 Data Center,Digital Realty,82.869,Loudoun County
Northern Virginia IAD42 Data Center,Digital Realty,54.418,Loudoun County
Wells Fargo Bank Data Center ,Digital Realty,13.9725,Loudoun County
Northern Virginia VA3 Data Center,Digital Realty,34.0,Loudoun County
RIC01 Richmond Data Center,EdgeConnex,1.0,Henrico County
NOR01 Norfolk Data Center,EdgeConnex,0.75,Chesapeake City
CU4 Culpeper Data Center,Equinix,25.0,Culpeper County
CU3 Culpeper Data Center,Equinix,15.0,Culpeper County
