DATA_CENTER_BUILDING_NAME,PROVIDER_NAME,TOT_POWER_MW,County
TA Realty Data Center 5,TA Digital Group,86.0,Loudoun County
Tech Park at Brambleton Data Center 2,Black Chamber,50.952,Loudoun County
Tech Park at Brambleton Data Center 1,Black Chamber,50.952,Loudoun County
SDC Data Center 2,SDC Capital Partners,41.023,Loudoun County
SDC Data Center 1,SDC Capital Partners,41.023,Loudoun County
VA1 Data Center Building 1,Clean Arc,100.0,Loudoun County
VA1 Data Center Building 2,Clean Arc,100.0,Loudoun County
VA1 Data Center Building 3,Clean Arc,100.0,Loudoun County
SDC Ashburn Data Center Building A,Sabey Data Centers,18.0,Loudoun County
Building 2,SDC Capital Partners,71.239,Loudoun County
Building 1,SDC Capital Partners,71.239,Loudoun County
Dulles 28 Technology Park 2,Black Chamber,,Loudoun County
Dulles 28 Technology Park,Black Chamber,,Loudoun County
MD-DC1 (Herndon),Menlo Digital,67.2,Loudoun County
CTP-03  Richmond,Chirisa Technology Parks,60.0,Chesterfield County
CTP-02  Richmond,Chirisa Technology Parks,60.0,Chesterfield County
 AWS NCTC Building 1,Amazon AWS,70.0,Loudoun County
 AWS NCTC Building 2,Amazon AWS,70.0,Prince William County
AWS Lake Anna Data Center - Building 1,Amazon AWS,44.0,Spotsylvania County
AWS Lake Anna Data Center - Building 2,Amazon AWS,66.0,Louisa County
AWS Lake Anna Data Center - Building 4,Amazon AWS,66.0,Spotsylvania County
AWS Lake Anna Data Center - Building 3,Amazon AWS,66.0,Louisa County
Amazon AWS IAD - Wellington Building 3,Amazon AWS,39.1977777777778,Loudoun County
Amazon AWS IAD - Wellington Building 1,Amazon AWS,73.6007665945166,Loudoun County
Amazon AWS IAD - Wellington Building 2,Amazon AWS,73.6007665945166,Loudoun County
Amazon AWS IAD - 42139 Reeds Farm Building 2,Amazon AWS,60.0,Loudoun County
Amazon AWS IAD - 42139 Reeds Farm Building 1,Amazon AWS,60.0,Loudoun County
Amazon AWS IAD - 42139 Reeds Farm Building 3,Amazon AWS,60.0,Loudoun County
Dean Dr Building 3,Amazon AWS,60.0,Loudoun County
AWS Orrock Building 1,Amazon AWS,70.0,Loudoun County
AWS Orrock Building 2,Amazon AWS,70.0,Prince William County
Dean Dr Building 2,Amazon AWS,60.0,Loudoun County
Building A,Amazon AWS,63.9685100520395,Loudoun County
Building B,Amazon AWS,58.8827651515152,Loudoun County
Dean Dr Building 1,Amazon AWS,60.0,Loudoun County
Amazon AWS IAD - Willard Building 2,Amazon AWS,66.0,Loudoun County
Amazon AWS IAD - Willard Building 3,Amazon AWS,66.0,Loudoun County
Amazon AWS IAD - Willard Building 4,Amazon AWS,66.0,Loudoun County
Amazon AWS IAD - Willard Building 5,Amazon AWS,66.0,Loudoun County
AWS Cosner Building 2,Amazon AWS,60.0,Fredericksburg City
AWS Cosner Building 4,Amazon AWS,60.0,Fredericksburg City
AWS Cosner Building 3,Amazon AWS,60.0,Fredericksburg City
AWS Cosner Building 5,Amazon AWS,39.1977777777778,Stafford County
Amazon AWS IAD502 -  EDS Building 3,Amazon AWS,39.1977777777778,Loudoun County
Amazon AWS IAD501 -  EDS Building 2,Amazon AWS,39.1977777777778,Loudoun County
Amazon AWS IAD - 13600 EDS Building 4,Amazon AWS,60.0,Loudoun County
Amazon AWS IAD500 -  EDS Building 1,Amazon AWS,39.1977777777778,Loudoun County
Amazon AWS - Potomac Building 1,Amazon AWS,58.8827651515152,Arlington County
Amazon AWS - Potomac Building 2,Amazon AWS,22.695,Loudoun County
Amazon AWS - Loisdale Rd Data Center,Amazon AWS,53.43,Fairfax County
MDC2 Northern Virginia,CloudHQ,84.0,Loudoun County
MDC3 Northern Virginia,CloudHQ,84.0,Loudoun County
MDC1 Northern Virginia,CloudHQ,84.0,Loudoun County
LC11 Northern Virginia,CloudHQ,108.0,Loudoun County
LC8 Northern Virginia,CloudHQ,108.0,Loudoun County
Stoneview Data Center,Company Not Disclosed,46.37,Loudoun County
Wellington North Data Center,Company Not Disclosed,,Loudoun County
Chantilly Premier,Company Not Disclosed,36.832,Loudoun County
Word of Grace Data Center 1,Company Not Disclosed,60.0,Loudoun County
Word of Grace Data Center 2,Company Not Disclosed,32.0,Loudoun County
IAD5 - Culpepper Data Center,DataBank,72.0,Culpeper County
IAD4 - Ashburn Campus Data Center,DataBank,20.0,Loudoun County
Aurora,Digital Realty,96.0,Loudoun County
Data Center 5,Digital Realty,96.0,Loudoun County
Data Center 9,Digital Realty,96.0,Loudoun County
Data Center 6,Digital Realty,64.0,Loudoun County
Data Center 8,Digital Realty,64.0,Loudoun County
Digital Realty IAD56 ,Digital Realty,46.127,Loudoun County
AS02 Ashburn Edgecore Datacenter,Edgecore,41.954,Loudoun County
AS01 Ashburn Edgecore Datacenter,Edgecore,72.0,Loudoun County
DC22 Ashburn IBX Data Center,Equinix,10.0,Loudoun County
Google Loudoun County Data Center 3,Google,96.0,Loudoun County
Google Arcola Data Center Building 3,Google,88.0,Loudoun County
Bermuda Data Center 1,Google,96.0,Loudoun County
Microsoft Clarksville Data Center Building 2,Microsoft,54.0,Mecklenburg County
Microsoft Clarksville Data Center Building 1,Microsoft,54.0,Clark County
Microsoft Clarksville Data Center Building 3,Microsoft,54.0,Mecklenburg County
Microsoft Prison Rd Data Center Building 7,Microsoft,54.0,Prince William County
Microsoft Data Center Boydton Building 7,Microsoft,43.2734483849484,Murdering Creek County
Microsoft Data Center Boydton Building 6,Microsoft,54.0,Mecklenburg County
Microsoft Data Center Boydton Building 5,Microsoft,54.0,Mecklenburg County
Microsoft - Growth Mindset Ln (IAD12),Microsoft,32.2025,Loudoun County
Microsoft - 41700 Inclusion Ln (IAD6),Microsoft,30.0,Loudoun County
Microsoft - Growth Mindset Ln (IAD13),Microsoft,32.2025,Loudoun County
VA13 Gainesville Data Center,NTT Global Data Centers,125.0,Prince William County
VA12 Gainesville Data Center,NTT Global Data Centers,125.0,Loudoun County
VA11 Gainesville Data Center,NTT Global Data Centers,125.0,Prince William County
VA9 Ashburn Data Center,NTT Global Data Centers,,Loudoun County
VA7 Ashburn Data Center,NTT Global Data Centers,22.176,Loudoun County
Overview Dr Data Center 4,Power House Data Centers,33.099,Loudoun County
Overview Dr Data Center 2,Power House Data Centers,32.879,Loudoun County
Overview Dr Data Center 3,Power House Data Centers,36.652,Loudoun County
Overview Dr Data Center 1,Power House Data Centers,36.368,Prince William County
PowerHouse Pacific Building 2,Power House Data Centers,88.0,Loudoun County
PowerHouse Pacific Building 3,Power House Data Centers,88.0,Loudoun County
PowerHouse Pacific Building 1,Power House Data Centers,88.0,Prince William County
Power House & Chirisa Building 1,Power House Data Centers,60.0,Loudoun County
RIC3 DC3,QTS Data Centers,34.24,Henrico County
RIC3 DC2,QTS Data Centers,34.24,Henrico County
RIC3 DC5,QTS Data Centers,34.24,Henrico County
RIC3 DC4,QTS Data Centers,34.24,Henrico County
RIC2 DC6,QTS Data Centers,34.24,Henrico County
NVA06 - Northern Virginia Data Center Building 2,STACK Infrastructure,24.0,Loudoun County
NVA02H - Northern Virginia Data Center,STACK Infrastructure,52.0,Loudoun County
NVA02I - Northern Virginia Data Center,STACK Infrastructure,52.0,Loudoun County
NVA02J - Northern Virginia Data Center,STACK Infrastructure,52.0,Loudoun County
NVA02G - Northern Virginia Data Center,STACK Infrastructure,52.0,Loudoun County
NVA05B - Northern Virginia Data Center 2,STACK Infrastructure,48.0,Loudoun County
USTA East Data Center,STACK Infrastructure,34.17,Loudoun County
NVA04 - Northern Virginia Data Center Bldg 3,STACK Infrastructure,47.863,Loudoun County
NVA04 - Northern Virginia Data Center Bldg 1,STACK Infrastructure,47.863,Loudoun County
NVA04 - Northern Virginia Data Center Bldg 2,STACK Infrastructure,47.863,Loudoun County
STC Building 1,STACK Infrastructure,58.0,Prince William County
STC Building 2,STACK Infrastructure,58.0,Loudoun County
VA3-32 Ashburn Data Center Building 2,Vantage Data Centers,41.0,Loudoun County
VA3-34 Ashburn Data Center Building 4,Vantage Data Centers,41.0,Loudoun County
VA3-33 Ashburn Data Center Building 3,Vantage Data Centers,7.0,Loudoun County
NoVA Gateway Data Center 1,Vantage Data Centers,42.334,Loudoun County
NoVA Gateway Data Center 2,Vantage Data Centers,42.334,Loudoun County
VA1-16 Ashburn Data Center Building 6,Vantage Data Centers,35.0,Loudoun County
VA1-15 Ashburn Data Center Building 5,Vantage Data Centers,31.0,Loudoun County
Amazon AWS IAD - John Marshall 2 Building 2,Black Chamber,60.0,Loudoun County
Amazon AWS IAD - John Marshall 2 Building 3,Black Chamber,60.0,Fairfax County
Amazon AWS IAD - John Marshall 2 Building 4,Black Chamber,60.0,Loudoun County
 AWS Culpeper Data Center 1,Amazon AWS,80.0,Culpeper County
Amazon AWS IAD - Mallory Building 3,Amazon AWS,60.0,Loudoun County
Data Center 1,Company Not Disclosed,65.874,Prince William County
Data Center 5,Company Not Disclosed,65.874,Loudoun County
Data Center 9,Company Not Disclosed,65.874,Loudoun County
Data Center 8,Company Not Disclosed,65.874,Loudoun County
Data Center 7,Company Not Disclosed,65.874,Loudoun County
Data Center 2,Company Not Disclosed,65.874,Loudoun County
Data Center 4,Company Not Disclosed,65.874,Loudoun County
Data Center 6,Company Not Disclosed,65.874,Loudoun County
Data Center 3,Company Not Disclosed,65.874,Loudoun County
Henrico Data Center Building 6,Facebook,55.3176428571429,Henrico County
Henrico Data Center Building 7,Facebook,55.3176428571429,Henrico County
Microsoft Hillcrest Building 2,Microsoft,48.0,Arlington County
Microsoft Hillcrest Building 3,Microsoft,48.0,Fairfax County
Microsoft - MNZ01,Microsoft,42.0225,Loudoun County
Microsoft - MNZ02,Microsoft,42.0225,Loudoun County
NVA02F - Northern Virginia Data Center,STACK Infrastructure,52.0,Loudoun County
Remington - Building 1,Gigaland,85.0,Loudoun County
Remington - Building 5,Gigaland,85.0,Fairfax County
Remington - Building 2,Gigaland,85.0,Loudoun County
Remington - Building 7,Gigaland,85.0,Loudoun County
Remington - Building 4,Gigaland,85.0,Loudoun County
Remington - Building 3,Gigaland,85.0,Loudoun County
Remington - Building 6,Gigaland,85.0,Loudoun County
The Catlett Project Building 3,Convergent LLC,52.0,Fauquier County
The Catlett Project Building 4,Convergent LLC,52.0,Fauquier County
The Catlett Project Building 1,Convergent LLC,52.0,Fauquier County
The Catlett Project Building 2,Convergent LLC,52.0,Fauquier County
Dulles 2000 Redevelopment,Black Chamber,,Loudoun County
Roxbury Technology Park,Diode Ventures,,Prince William County
Data Center 18,Amazon AWS,66.9973433678465,Prince William County
Data Center 1,Amazon AWS,66.9973433678465,Prince William County
Data Center 16,Amazon AWS,66.9973433678465,Prince William County
Data Center 6,Amazon AWS,66.9973433678465,Prince William County
Data Center 17,Amazon AWS,66.9973433678465,Loudoun County
Data Center 2,Amazon AWS,66.9973433678465,Prince William County
Data Center 3,Amazon AWS,66.9973433678465,Loudoun County
Data Center 15,Amazon AWS,66.9973433678465,Loudoun County
Data Center 12,Amazon AWS,66.9973433678465,Prince William County
Data Center 10,Amazon AWS,66.9973433678465,Prince William County
Data Center 9,Amazon AWS,66.9973433678465,Loudoun County
Data Center 11,Amazon AWS,66.9973433678465,Loudoun County
Data Center 24,Amazon AWS,66.9973433678465,Prince William County
Data Center 8,Amazon AWS,66.9973433678465,Loudoun County
Data Center 25,Amazon AWS,66.9973433678465,Loudoun County
Data Center 22,Amazon AWS,66.9973433678465,Prince William County
Data Center 4,Amazon AWS,66.9973433678465,Loudoun County
Data Center 21,Amazon AWS,66.9973433678465,Prince William County
Data Center 20,Amazon AWS,66.9973433678465,Loudoun County
Data Center 19,Amazon AWS,66.9973433678465,Prince William County
Data Center 26,Amazon AWS,66.9973433678465,Arlington County
Data Center 14,Amazon AWS,66.9973433678465,Prince William County
Data Center 7,Amazon AWS,66.9973433678465,Prince William County
Data Center 23,Amazon AWS,66.9973433678465,Prince William County
Data Center 5,Amazon AWS,66.9973433678465,Loudoun County
Data Center 13,Amazon AWS,66.9973433678465,Prince William County
Amazon AWS - 8158 Sudley Rd Building 2,Amazon AWS,66.9973433678465,Prince William County
Amazon AWS - 8158 Sudley Rd Building 1,Amazon AWS,66.9973433678465,Prince William County
Amazon AWS - 8158 Sudley Rd Building 3,Amazon AWS,66.9973433678465,Prince William County
Amazon AWS - 8158 Sudley Rd Building 4,Amazon AWS,66.9973433678465,Prince William County
AWS King George Building 4,Amazon AWS,52.8520833333333,King George County
AWS King George Building 1,Amazon AWS,52.8520833333333,King George County
AWS King George Building 8,Amazon AWS,52.8520833333333,King George County
AWS King George Building 7,Amazon AWS,52.8520833333333,King George County
AWS King George Building 6,Amazon AWS,52.8520833333333,King George County
AWS King George Building 5,Amazon AWS,52.8520833333333,King George County
AWS King George Building 2,Amazon AWS,52.8520833333333,King George County
AWS King George Building 3,Amazon AWS,52.8520833333333,King George County
Balico LLC Data Center 7,Company Not Disclosed,61.614,Prince William County
Balico LLC Data Center 6,Company Not Disclosed,61.614,Loudoun County
Balico LLC Data Center 9,Company Not Disclosed,61.614,Prince William County
Balico LLC Data Center 1,Company Not Disclosed,61.614,Loudoun County
Balico LLC Data Center 11,Company Not Disclosed,61.614,Loudoun County
Balico LLC Data Center 3,Company Not Disclosed,61.614,Loudoun County
Balico LLC Data Center 2,Company Not Disclosed,61.614,Albemarle County
Balico LLC Data Center 5,Company Not Disclosed,61.614,Prince William County
Balico LLC Data Center 4,Company Not Disclosed,61.614,Loudoun County
Balico LLC Data Center 12,Company Not Disclosed,61.614,Loudoun County
Balico LLC Data Center 10,Company Not Disclosed,61.614,Loudoun County
Balico LLC Data Center 8,Company Not Disclosed,61.614,Loudoun County
Campbell County Data Center 2,Company Not Disclosed,33.1,Campbell County
Campbell County Data Center 1,Company Not Disclosed,33.1,Campbell County
Campbell County Data Center 3,Company Not Disclosed,33.1,Campbell County
HHHunt Data Center 2,Company Not Disclosed,60.349,Loudoun County
HHHunt Data Center 8,Company Not Disclosed,60.349,Loudoun County
HHHunt Data Center 3,Company Not Disclosed,60.349,Loudoun County
HHHunt Data Center 9,Company Not Disclosed,60.349,Loudoun County
HHHunt Data Center 10,Company Not Disclosed,60.349,Loudoun County
HHHunt Data Center 7,Company Not Disclosed,60.349,Loudoun County
HHHunt Data Center 5,Company Not Disclosed,60.349,Loudoun County
HHHunt Data Center 4,Company Not Disclosed,60.349,Loudoun County
HHHunt Data Center 6,Company Not Disclosed,60.349,Loudoun County
HHHunt Data Center 1,Company Not Disclosed,60.349,Fairfax County
Oaklawn Data Center ,Company Not Disclosed,66.263,Fairfax County
Hornbaker Rd Data Center,Company Not Disclosed,,Loudoun County
Fredericksburg Data Ceter 2,Company Not Disclosed,71.495,Spotsylvania County
Fredericksburg Data Ceter 4,Company Not Disclosed,71.495,Spotsylvania County
Fredericksburg Data Ceter 3,Company Not Disclosed,71.495,Spotsylvania County
Fredericksburg Data Ceter 1 ,Company Not Disclosed,71.495,Spotsylvania County
Darbytown Data Center 7,Company Not Disclosed,,Henrico County
Darbytown Data Center 3,Company Not Disclosed,,Chesterfield County
Darbytown Data Center 5,Company Not Disclosed,,Henrico County
Darbytown Data Center 4,Company Not Disclosed,,Henrico County
Darbytown Data Center 1,Company Not Disclosed,,Henrico County
Darbytown Data Center 6,Company Not Disclosed,,Chesterfield County
Darbytown Data Center 8,Company Not Disclosed,,Henrico County
Darbytown Data Center 2,Company Not Disclosed,,Henrico County
Compass Data Center 15,Compass Datacenters,71.095,Loudoun County
Compass Data Center 20,Compass Datacenters,71.095,Loudoun County
Compass Data Center 7,Compass Datacenters,71.095,Prince William County
Compass Data Center 23,Compass Datacenters,71.095,Loudoun County
Compass Data Center 9,Compass Datacenters,71.095,Loudoun County
Compass Data Center 22,Compass Datacenters,71.095,Prince William County
Compass Data Center 6,Compass Datacenters,71.095,Loudoun County
Compass Data Center 4,Compass Datacenters,71.095,Prince William County
Compass Data Center 19,Compass Datacenters,71.095,Loudoun County
Compass Data Center 11,Compass Datacenters,71.095,Prince William County
Compass Data Center 1,Compass Datacenters,71.095,Loudoun County
Compass Data Center 10,Compass Datacenters,71.095,Prince William County
Compass Data Center 21,Compass Datacenters,71.095,Prince William County
Compass Data Center 16,Compass Datacenters,71.095,Prince William County
Compass Data Center 17,Compass Datacenters,71.095,Prince William County
Compass Data Center 14,Compass Datacenters,71.095,Loudoun County
Compass Data Center 18,Compass Datacenters,71.095,Loudoun County
Compass Data Center 13,Compass Datacenters,71.095,Prince William County
Compass Data Center 2,Compass Datacenters,71.095,Prince William County
Compass Data Center 3,Compass Datacenters,71.095,Prince William County
Compass Data Center 12,Compass Datacenters,71.095,Prince William County
Compass Data Center 8,Compass Datacenters,71.095,Prince William County
Compass Data Center 5,Compass Datacenters,71.095,Loudoun County
QTS Data Center 23,QTS Data Centers,71.123,Prince William County
QTS Data Center 10,QTS Data Centers,71.123,Prince William County
QTS Data Center 5,QTS Data Centers,71.123,Prince William County
QTS Data Center 4,QTS Data Centers,71.123,Prince William County
QTS Data Center 3,QTS Data Centers,71.123,Prince William County
QTS Data Center 17,QTS Data Centers,71.123,Prince William County
QTS Data Center 6,QTS Data Centers,71.123,Prince William County
QTS Data Center 18,QTS Data Centers,71.123,Prince William County
QTS Data Center 21,QTS Data Centers,71.123,Prince William County
QTS Data Center 7,QTS Data Centers,71.123,Prince William County
QTS Data Center 16,QTS Data Centers,71.123,Prince William County
QTS Data Center 12,QTS Data Centers,71.123,Prince William County
QTS Data Center 11,QTS Data Centers,71.123,Henrico County
QTS Data Center 13,QTS Data Centers,71.123,Prince William County
QTS Data Center 14,QTS Data Centers,71.123,Prince William County
QTS Data Center 15,QTS Data Centers,71.123,Prince William County
QTS Data Center 2,QTS Data Centers,71.123,Prince William County
QTS Data Center 22,QTS Data Centers,71.123,Prince William County
QTS Data Center 9,QTS Data Centers,71.123,Prince William County
QTS Data Center 19,QTS Data Centers,71.123,Chesterfield County
QTS Data Center 1,QTS Data Centers,71.123,Prince William County
QTS Data Center 8,QTS Data Centers,71.123,Prince William County
QTS Data Center 20,QTS Data Centers,71.123,Prince William County
NVA02L - Northern Virginia Data Center,STACK Infrastructure,51.8,Loudoun County
NVA02K - Northern Virginia Data Center,STACK Infrastructure,51.8,Loudoun County
