2024 Utility Bundled Retail Sales- Residential,,,,,,
(Data from forms EIA-861- schedules 4A & 4D and EIA-861S),,,,,,
Entity,State,Ownership,Customers (Count),Sales (Megawatthours),Revenues (Thousands Dollars),Average Price (cents/kWh)
Taylor County Rural E C C,KY,Cooperative,"24,985","302,324","40,131.0",13.27
Tri-County Elec Member Corp (TN),KY,Cooperative,"20,529","282,614","35,384.0",12.52
Warren Rural Elec Coop Corp,KY,Cooperative,"60,701","919,314","110,154.0",11.98
West Kentucky Rural E C C,KY,Cooperative,"32,062","445,087","59,888.0",13.46
"Beauregard Electric Coop, Inc",LA,Cooperative,"40,051","598,074","81,907.0",13.70
City of Alexandria - (LA),LA,Municipal,"19,541","278,634","30,931.1",11.10
City of Lafayette - (LA),LA,Municipal,"59,961","856,774","86,739.0",10.12
City of Natchitoches,LA,Municipal,"7,234","87,226","8,072.4",9.25
City of Ruston - (LA),LA,Municipal,"9,900","108,531","6,141.0",5.66
"Claiborne Electric Coop, Inc",LA,Cooperative,"21,438","290,221","37,725.2",13.00
Cleco Power LLC,LA,Investor Owned,"251,927","3,677,934","453,519.0",12.33
"Concordia Electric Coop, Inc",LA,Cooperative,"11,879","135,274","18,072.4",13.36
Dixie Electric Membership Corp - (LA),LA,Cooperative,"110,675","1,754,509","209,018.0",11.91
Entergy Louisiana LLC,LA,Investor Owned,"957,522","14,061,790","1,554,400.0",11.05
"Entergy New Orleans, LLC",LA,Investor Owned,"188,178","2,353,677","306,672.6",13.03
"Jefferson Davis Elec Coop, Inc",LA,Cooperative,"9,127","131,371","18,456.0",14.05
Northeast Louisiana Power Coop Inc.,LA,Cooperative,"11,543","192,625","20,534.0",10.66
"Panola-Harrison Elec Coop, Inc",LA,Cooperative,"8,459","126,519","11,184.1",8.84
Pointe Coupee Elec Member Corp,LA,Cooperative,"8,255","118,482","15,905.0",13.42
South Louisiana Elec Coop Assn,LA,Cooperative,"16,997","258,112","34,782.0",13.48
Southwest Louisiana E M C,LA,Cooperative,"108,368","1,789,693","206,788.1",11.55
Southwestern Electric Power Co,LA,Investor Owned,"207,011","2,679,887","360,692.7",13.46
Spruce Finance,LA,Behind the Meter,89,615,45.9,7.46
Sunnova,LA,Behind the Meter,22,125,21.6,17.28
Terrebonne Parish Consol Gov't,LA,Municipal,"11,218","174,885","18,759.0",10.73
"Washington-St Tammany E C, Inc",LA,Cooperative,"50,901","789,798","93,583.0",11.85
City of Chicopee - (MA),MA,Municipal,"23,218","194,636","31,462.1",16.16
City of Holyoke - (MA),MA,Municipal,"15,040","108,136","17,929.0",16.58
City of Norwood - (MA),MA,Municipal,"13,601","90,086","15,915.8",17.67
City of Peabody - (MA),MA,Municipal,"22,546","193,326","30,371.2",15.71
City of Taunton,MA,Municipal,"35,684","266,446","57,189.0",21.46
City of Westfield - (MA),MA,Municipal,"16,200","129,962","22,857.0",17.59
"EverBright, LLC",MA,Behind the Meter,"1,401","10,964","2,312.2",21.09
Fitchburg Gas & Elec Light Co,MA,Investor Owned,"6,168","37,272","14,938.8",40.08
Massachusetts Electric Co,MA,Investor Owned,"526,437","3,110,674","1,045,148.2",33.60
NSTAR Electric Company,MA,Investor Owned,"383,373","2,107,270","630,364.0",29.91
Nantucket Electric Co,MA,Investor Owned,"2,055","19,871","6,976.4",35.11
"Palmetto Solar, LLC",MA,Behind the Meter,52,"3,020",612.4,20.28
Spruce Finance,MA,Behind the Meter,"3,401","23,221","3,449.8",14.86
"SunPower Capital, LLC",MA,Behind the Meter,"1,363","10,940","2,182.6",19.95
Sunnova,MA,Behind the Meter,"16,865","129,453","30,807.3",23.80
Sunrun Inc.,MA,Behind the Meter,"57,153","412,397","101,533.8",24.62
Tesla Inc.,MA,Behind the Meter,"19,248","108,750","17,513.0",16.10
Town of Braintree - (MA),MA,Municipal,"14,039","119,085","18,800.0",15.79
Town of Danvers,MA,Municipal,"11,594","96,468","15,865.4",16.45
Town of Hudson - (MA),MA,Municipal,"11,448","104,445","13,981.7",13.39
Town of Littleton - (MA),MA,Municipal,"6,738","68,711","9,699.6",14.12
Town of Mansfield - (MA),MA,Municipal,"9,399","81,769","12,398.7",15.16
Town of Middleborough - (MA),MA,Municipal,"14,884","141,406","22,393.6",15.84
Town of North Attleborough - (MA),MA,Municipal,"12,607","115,237","18,329.5",15.91
Town of Reading - (MA),MA,Municipal,"27,405","259,395","41,138.6",15.86
Town of Shrewsbury - (MA),MA,Municipal,"15,713","137,811","19,669.0",14.27
Town of Wellesley - (MA),MA,Municipal,"9,437","110,693","17,933.1",16.20
A & N Electric Coop,MD,Cooperative,253,"2,226",304.8,13.69
Baltimore Gas & Electric Co,MD,Investor Owned,"1,025,745","10,693,909","1,915,002.4",17.91
"Choptank Electric Cooperative, Inc",MD,Cooperative,"50,697","676,954","111,393.4",16.46
Delmarva Power,MD,Investor Owned,"172,008","1,947,292","393,798.5",20.22
Easton Utilities Comm,MD,Municipal,"8,590","107,317","14,012.7",13.06
"EverBright, LLC",MD,Behind the Meter,350,"2,088",266.1,12.74
Hagerstown Light Department,MD,Municipal,"15,099","165,448","12,852.0",7.77
"Palmetto Solar, LLC",MD,Behind the Meter,5,197,50.6,25.69
Potomac Electric Power Co,MD,Investor Owned,"485,483","4,834,631","970,730.6",20.08
Southern Maryland Elec Coop Inc,MD,Cooperative,"158,375","2,178,191","323,231.6",14.84
Spruce Finance,MD,Behind the Meter,579,"4,843",582.7,12.03
Sunnova,MD,Behind the Meter,"4,578","44,253","8,262.4",18.67
Sunrun Inc.,MD,Behind the Meter,"25,231","225,806","32,025.0",14.18
Tesla Inc.,MD,Behind the Meter,"26,988","186,609","29,554.0",15.84
The Potomac Edison Company,MD,Investor Owned,"240,570","3,135,474","433,620.0",13.83
Central Maine Power Co,ME,Investor Owned,"519,295","3,471,992","813,652.0",23.43
Eastern Maine Electric Coop,ME,Cooperative,"10,803","65,257","11,130.9",17.06
"EverBright, LLC",ME,Behind the Meter,504,"4,132",779.7,18.87
Houlton Water Company,ME,Municipal,"3,907","34,513","4,123.6",11.95
"Palmetto Solar, LLC",ME,Behind the Meter,8,51,21.2,41.57
Sunnova,ME,Behind the Meter,80,726,177.0,24.38
Town of Madison - (ME),ME,Municipal,"2,413","19,455","2,949.0",15.16
Versant Power,ME,Investor Owned,"130,632","791,328","222,221.6",28.08
Alger-Delta Coop Electric Assn,MI,Cooperative,"9,817","51,600","11,995.9",23.25
Alpena Power Co,MI,Investor Owned,"13,763","86,989","15,157.9",17.43
Cherryland Electric Coop Inc,MI,Cooperative,"35,100","282,656","46,240.3",16.36
City of Bay City - (MI),MI,Municipal,"18,028","124,579","19,124.1",15.35
City of Crystal Falls,MI,Municipal,"1,330","7,342","1,385.9",18.88
City of Gladstone,MI,Municipal,"2,339","14,910","2,328.2",15.62
City of Grand Haven - (MI),MI,Municipal,"13,231","87,946","12,967.1",14.74
City of Holland,MI,Municipal,"26,608","184,987","21,598.3",11.68
City of Lansing - (MI),MI,Municipal,"87,301","538,955","106,606.0",19.78
City of Marquette - (MI),MI,Municipal,"15,036","91,673","15,550.0",16.96
City of Negaunee,MI,Municipal,"1,978","11,056","2,400.9",21.72
City of Norway,MI,Municipal,"1,995","12,961","2,211.1",17.06
City of Sturgis - (MI),MI,Municipal,"6,117","47,785","7,027.5",14.71
City of Traverse City - (MI),MI,Municipal,"9,161","60,013","7,621.0",12.70
City of Zeeland - (MI),MI,Municipal,"6,037","47,975","4,856.8",10.12
Cloverland Electric Co-op,MI,Cooperative,"36,086","280,674","40,335.8",14.37
Coldwater Board of Public Util,MI,Municipal,"6,393","44,059","6,548.4",14.86
Consumers Energy Co - (MI),MI,Investor Owned,"1,657,843","12,495,282","2,387,568.9",19.11
DTE Electric Company,MI,Investor Owned,"2,067,758","15,131,396","3,045,482.9",20.13
Great Lakes Energy Coop,MI,Cooperative,"120,645","884,220","169,510.9",19.17
Indiana Michigan Power Co,MI,Investor Owned,"112,600","1,109,966","188,749.7",17.00
Midwest Energy Cooperative - (MI),MI,Cooperative,"29,283","326,871","65,082.9",19.91
Northern States Power Co,MI,Investor Owned,"7,579","52,715","7,726.4",14.66
"Palmetto Solar, LLC",MI,Behind the Meter,4,33,10.3,31.21
Presque Isle Elec & Gas Coop,MI,Cooperative,"32,446","174,203","36,570.0",20.99
Tri-County Electric Coop (MI),MI,Cooperative,"23,034","219,213","39,547.8",18.04
Upper Michigan Energy Resources Corp.,MI,Investor Owned,"33,252","223,869","33,033.3",14.76
Upper Peninsula Power Company,MI,Investor Owned,"47,660","242,922","67,142.0",27.64
Village of Baraga - (MI),MI,Municipal,555,"2,772",424.7,15.32
Village of L'Anse - (MI),MI,Municipal,946,"4,753",799.6,16.82
Wyandotte Municipal Serv Comm,MI,Municipal,"11,730","77,238","12,576.1",16.28
"ALLETE, Inc.",MN,Investor Owned,"125,896","983,680","154,078.7",15.66
Agralite Electric Coop,MN,Cooperative,"4,333","68,617","9,568.0",13.94
BENCO Electric Cooperative,MN,Cooperative,"18,361","207,600","31,200.0",15.03
"Beltrami Electric Coop, Inc",MN,Cooperative,"20,732","275,547","39,669.0",14.40
Brainerd Public Utilities,MN,Municipal,"6,956","52,218","6,342.9",12.15
City of Alexandria - (MN),MN,Municipal,"8,758","76,955","8,900.4",11.57
City of Anoka,MN,Municipal,"11,646","76,211","12,100.0",15.88
City of Austin - (MN),MN,Municipal,"10,795","77,564","11,901.0",15.34
City of Chaska - (MN),MN,Municipal,"10,954","85,049","13,849.6",16.28
City of Elk River,MN,Municipal,"11,776","103,231","16,337.0",15.83
City of Lake Crystal - (MN),MN,Municipal,"1,070","7,993","1,676.0",20.97
City of Marshall - (MN),MN,Municipal,"5,857","59,549","5,773.5",9.70
City of Moorhead - (MN),MN,Municipal,"18,180","177,935","20,247.8",11.38
City of Owatonna - (MN),MN,Municipal,"11,434","86,579","13,222.7",15.27
City of Worthington - (MN),MN,Municipal,"4,662","35,013","4,230.2",12.08
Connexus Energy,MN,Cooperative,"134,095","1,242,625","169,726.7",13.66
Crow Wing Cooperative Power & Light Comp,MN,Cooperative,"44,698","433,747","57,820.2",13.33
Dakota Electric Association,MN,Cooperative,"108,097","929,091","130,042.0",14.00
East Central Energy,MN,Cooperative,"55,250","543,737","91,815.0",16.89
Federated Rural Electric Assn,MN,Cooperative,"5,727","83,557","9,725.0",11.64
Freeborn Mower Electric Cooperative,MN,Cooperative,"17,842","181,574","27,510.0",15.15
Glencoe Light & Power Comm,MN,Municipal,"2,585","20,983","2,344.0",11.17
Heartland Power Coop,MN,Cooperative,38,964,117.0,12.14
Hutchinson Utilities Comm,MN,Municipal,"6,653","54,495","6,041.0",11.09
Itasca-Mantrap Co-op Electrical Assn,MN,Cooperative,"11,200","122,108","16,406.6",13.44
Lake Country Power,MN,Cooperative,"47,204","469,478","84,024.3",17.90
Lake Region Electric Cooperative - (MN),MN,Cooperative,"27,239","325,139","43,164.9",13.28
Meeker Coop Light & Power Assn,MN,Cooperative,"8,572","137,382","19,357.7",14.09
MiEnergy Cooperative,MN,Cooperative,"15,224","170,128","28,174.0",16.56
Mille Lacs Energy Cooperative,MN,Cooperative,"14,546","121,995","21,446.7",17.58
Minnesota Valley Coop L&P Assn,MN,Cooperative,"4,931","120,612","14,738.4",12.22
Minnesota Valley Electric Coop,MN,Cooperative,"43,412","493,660","69,003.0",13.98
Northern States Power Co - Minnesota,MN,Investor Owned,"1,230,057","8,676,639","1,473,375.3",16.98
Northwestern Wisconsin Elec Co,MN,Investor Owned,88,467,67.5,14.45
Otter Tail Power Co,MN,Investor Owned,"50,118","506,692","57,431.9",11.33
People's Cooperative Services,MN,Cooperative,"21,665","226,998","37,899.0",16.70
Rochester Public Utilities,MN,Municipal,"54,943","369,451","66,161.6",17.91
Runestone Electric Assn,MN,Cooperative,"14,282","192,378","27,624.0",14.36
Shakopee Public Utilities Comm,MN,Municipal,"18,517","138,811","21,575.0",15.54
Sioux Valley SW Elec Coop,MN,Cooperative,"3,370","80,620","10,165.8",12.61
South Central Electric Assn,MN,Cooperative,"4,665","74,853","11,375.0",15.20
Stearns Cooperative Elec Assn,MN,Cooperative,"26,138","377,521","52,381.8",13.88
Steele-Waseca Cooperative Electric,MN,Cooperative,"10,725","120,886","18,893.9",15.63
"Wild Rice Electric Coop, Inc",MN,Cooperative,"13,948","196,012","28,119.0",14.35
Willmar Municipal Utilities,MN,Municipal,"8,662","68,300","8,341.0",12.21
Wright-Hennepin Coop Elec Assn,MN,Cooperative,"53,714","578,061","84,339.7",14.59
Black River Electric Coop - (MO),MO,Cooperative,"21,575","286,283","36,664.0",12.81
Boone Electric Coop,MO,Cooperative,"33,806","429,513","57,566.0",13.40
Callaway Electric Cooperative,MO,Cooperative,"12,647","175,061","28,509.4",16.29
Carroll Electric Coop Corp - (AR),MO,Cooperative,"12,109","130,620","16,589.0",12.70
Central Missouri Elec Coop Inc,MO,Cooperative,"11,167","182,465","22,833.0",12.51
Citizens Electric Corporation - (MO),MO,Cooperative,"24,826","292,472","44,849.3",15.33
City Utilities of Springfield - (MO),MO,Municipal,"105,029","1,055,318","120,995.5",11.47
City of Carthage - (MO),MO,Municipal,"7,106","78,868","11,087.0",14.06
City of Columbia - (MO),MO,Municipal,"45,651","429,787","59,891.0",13.94
City of Farmington - (MO),MO,Municipal,"7,250","92,950","9,495.8",10.22
City of Hannibal - (MO),MO,Municipal,"7,639","77,552","10,012.0",12.91
City of Independence - (MO),MO,Municipal,"53,832","543,440","85,546.2",15.74
City of Kirkwood - (MO),MO,Municipal,"9,084","96,003","13,781.0",14.35
City of Lebanon - (MO),MO,Municipal,"6,066","79,919","7,991.0",10.00
City of Monett - (MO),MO,Municipal,"4,118","46,509","6,348.1",13.65
City of Poplar Bluff - (MO),MO,Municipal,"7,715","114,590","12,815.0",11.18
City of Rolla - (MO),MO,Municipal,"8,132","99,848","10,603.0",10.62
City of Sikeston - (MO),MO,Municipal,"7,058","113,575","11,219.3",9.88
Clay County Electric Coop Corp - (AR),MO,Cooperative,48,500,72.9,14.58
Co-Mo Electric Coop Inc,MO,Cooperative,"31,119","399,938","60,709.0",15.18
Consolidated Electric Coop,MO,Cooperative,"7,649","115,909","15,022.0",12.96
"Crawford Electric Coop, Inc",MO,Cooperative,"19,775","262,433","33,542.0",12.78
Cuivre River Electric Coop Inc,MO,Cooperative,"72,974","1,108,303","122,727.7",11.07
Empire District Electric Co,MO,Investor Owned,"142,537","1,727,154","258,851.0",14.99
Evergy Metro,MO,Investor Owned,"273,860","2,621,084","359,634.1",13.72
Evergy Missouri West,MO,Investor Owned,"305,583","3,584,586","449,877.9",12.55
"Farmers Electric Coop, Inc - (MO)",MO,Cooperative,"12,451","162,047","21,636.1",13.35
Gascosage Electric Coop,MO,Cooperative,"9,253","134,800","16,576.0",12.30
"Howell-Oregon Elec Coop, Inc",MO,Cooperative,"23,101","301,522","37,817.1",12.54
Intercounty Electric Coop Assn - (MO),MO,Cooperative,"29,956","428,730","55,773.0",13.01
"Laclede Electric Coop, Inc",MO,Cooperative,"35,026","510,467","59,859.0",11.73
Macon Electric Coop,MO,Cooperative,"10,023","122,370","18,137.6",14.82
Missouri Rural Electric Coop,MO,Cooperative,"5,049","65,800","8,961.0",13.62
"New-Mac Electric Coop, Inc",MO,Cooperative,"19,445","304,731","38,474.0",12.63
Osage Valley Elec Coop Assn,MO,Cooperative,"16,945","252,446","35,338.0",14.00
Ozark Border Electric Coop,MO,Cooperative,"33,229","512,979","59,792.0",11.66
Ozark Electric Coop Inc - (MO),MO,Cooperative,"31,534","429,321","60,423.5",14.07
"Platte-Clay Electric Coop, Inc",MO,Cooperative,"23,584","357,865","44,605.0",12.46
SEMO Electric Cooperative,MO,Cooperative,"10,783","173,149","22,140.4",12.79
"Southwest Electric Coop, Inc",MO,Cooperative,"41,386","514,552","61,699.0",11.99
Sunnova,MO,Behind the Meter,1,8,1.1,13.75
Three Rivers Electric Coop,MO,Cooperative,"22,561","302,838","37,775.1",12.47
Union Electric Co - (MO),MO,Investor Owned,"1,095,619","13,001,145","1,633,293.9",12.56
Webster Electric Coop,MO,Cooperative,"18,820","304,392","31,031.9",10.19
West Central Electric Coop Inc - (MO),MO,Cooperative,"15,280","259,946","31,922.3",12.28
White River Valley El Coop Inc,MO,Cooperative,"39,216","486,769","69,622.0",14.30
4-County Electric Power Assn,MS,Cooperative,"41,076","597,902","77,017.0",12.88
Alcorn County Elec Power Assn,MS,Cooperative,"14,965","214,981","27,784.0",12.92
Central Electric Power Assn - (MS),MS,Cooperative,"30,905","471,500","57,602.0",12.22
City of Aberdeen - (MS),MS,Municipal,"2,592","34,239","4,211.0",12.30
City of Amory,MS,Municipal,"2,822","37,764","4,410.0",11.68
City of Columbus - (MS),MS,Municipal,"8,842","120,690","14,495.0",12.01
City of Holly Springs,MS,Municipal,"9,399","87,102","10,673.0",12.25
City of Macon - (MS),MS,Municipal,892,"11,140","1,444.0",12.96
City of New Albany - (MS),MS,Municipal,"8,157","113,112","14,009.0",12.39
City of Okolona,MS,Municipal,"4,289","59,217","7,593.0",12.82
City of Oxford - (MS),MS,Municipal,"8,502","93,616","10,880.0",11.62
City of Philadelphia - (MS),MS,Municipal,"2,667","37,115","4,357.0",11.74
City of Starkville,MS,Municipal,"12,632","130,418","15,748.0",12.08
City of Tupelo - (MS),MS,Municipal,"10,620","139,489","15,357.0",11.01
City of Water Valley - (MS),MS,Municipal,"1,522","19,682","2,489.0",12.65
City of West Point - (MS),MS,Municipal,"2,978","34,496","4,220.0",12.23
Coast Electric Power Assn - (MS),MS,Cooperative,"82,510","1,229,148","169,730.0",13.81
Delta Electric Power Assn,MS,Cooperative,"20,460","245,090","33,712.1",13.75
Dixie Electric Power Assn - (MS),MS,Cooperative,"37,803","546,187","73,397.8",13.44
East Mississippi Elec Pwr Assn,MS,Cooperative,"9,885","126,541","18,042.0",14.26
Entergy Mississippi LLC,MS,Investor Owned,"384,611","5,483,701","724,601.0",13.21
Greenwood Utilities Comm,MS,Municipal,"7,204","93,069","10,489.7",11.27
Louisville Electric System,MS,Municipal,"2,444","30,518","3,323.0",10.89
Magnolia Electric Power Assn,MS,Cooperative,"31,070","409,501","61,427.0",15.00
Mississippi Power Co,MS,Investor Owned,"157,437","2,097,472","303,566.0",14.47
Monroe County Elec Power Assn,MS,Cooperative,"10,170","165,572","20,739.0",12.53
Natchez Trace Elec Power Assn,MS,Cooperative,"12,611","170,086","21,763.0",12.80
North East Mississippi EPA,MS,Cooperative,"26,142","324,599","43,475.0",13.39
Northcentral Mississippi E P A,MS,Cooperative,"29,136","425,370","53,251.0",12.52
Pearl River Valley El Pwr Assn,MS,Cooperative,"52,077","748,470","106,666.5",14.25
Pontotoc Electric Power Assn,MS,Cooperative,"16,377","240,818","31,356.0",13.02
Prentiss County Elec Pwr Assn,MS,Cooperative,"10,999","155,357","16,867.0",10.86
Singing River Elec Cooperative,MS,Cooperative,"72,343","1,046,069","140,826.6",13.46
Southern Pine Electric Cooperative,MS,Cooperative,"65,176","911,422","127,681.9",14.01
Southwest Mississippi E P A,MS,Cooperative,"23,153","270,673","40,677.4",15.03
Tallahatchie Valley E P A,MS,Cooperative,"21,493","282,764","35,092.0",12.41
Tippah Electric Power Assn,MS,Cooperative,"10,521","127,767","16,810.0",13.16
Tishomingo County E P A,MS,Cooperative,"10,943","146,516","18,677.0",12.75
Tombigbee Electric Power Assn,MS,Cooperative,"37,296","568,801","69,551.0",12.23
Yazoo Valley Elec Power Assn,MS,Cooperative,"9,488","120,429","19,666.8",16.33
Avista Corp,MT,Investor Owned,9,200,17.0,8.50
"Black Hills Power, Inc.",MT,Investor Owned,12,125,8.7,6.96
Fall River Rural Elec Coop Inc,MT,Cooperative,"1,508","18,145","2,066.0",11.39
"Fergus Electric Coop, Inc",MT,Cooperative,"6,682","64,241","9,967.0",15.52
Flathead Electric Coop Inc,MT,Cooperative,"63,317","913,035","88,257.1",9.67
"Lower Yellowstone R E A, Inc",MT,Cooperative,"3,499","49,660","4,387.4",8.83
McKenzie Electric Coop Inc,MT,Cooperative,25,404,34.8,8.61
"Missoula Electric Coop, Inc",MT,Cooperative,"14,686","189,571","19,910.6",10.50
Montana-Dakota Utilities Co,MT,Investor Owned,"19,616","178,873","23,050.0",12.89
NorthWestern Energy LLC - (MT),MT,Investor Owned,"328,125","2,800,513","398,459.0",14.23
"Northern Lights, Inc",MT,Cooperative,"3,985","51,332","6,426.0",12.52
Powder River Energy Corp,MT,Cooperative,52,525,66.6,12.69
USBIA-Mission Valley Power,MT,Federal,"16,292","256,616","22,859.0",8.91
Yellowstone Valley Elec Co-op,MT,Cooperative,"21,182","229,678","30,655.0",13.35
Albemarle Electric Member Corp,NC,Cooperative,"12,728","187,141","27,083.0",14.47
Blue Ridge Elec Member Corp - (NC),NC,Cooperative,"71,926","749,928","109,395.0",14.59
Blue Ridge Mountain EMC - (GA),NC,Cooperative,"15,879","175,796","24,692.0",14.05
"Broad River Electric Coop, Inc",NC,Cooperative,482,"6,340",990.4,15.62
Brunswick Electric Member Corp,NC,Cooperative,"105,562","1,212,351","165,648.0",13.66
Carteret-Craven El Member Corp,NC,Cooperative,"38,858","469,633","57,043.6",12.15
Central Electric Membership Corp. - (NC),NC,Cooperative,"22,071","340,189","48,766.4",14.34
City of Albemarle - (NC),NC,Municipal,"11,248","143,278","15,540.1",10.85
City of Concord - (NC),NC,Municipal,"29,857","357,228","42,312.6",11.84
City of Elizabeth City - (NC),NC,Municipal,"11,366","152,058","17,876.0",11.76
City of Gastonia - (NC),NC,Municipal,"27,008","288,003","35,706.5",12.40
City of Kinston - (NC),NC,Municipal,"10,042","127,937","16,727.6",13.07
City of Lexington - (NC),NC,Municipal,"18,053","236,225","27,754.6",11.75
City of Lumberton - (NC),NC,Municipal,"9,983","98,229","13,589.0",13.83
City of Monroe - (NC),NC,Municipal,"10,543","121,868","14,970.0",12.28
City of Morganton - (NC),NC,Municipal,"7,055","75,066","8,012.0",10.67
City of New Bern - (NC),NC,Municipal,"21,226","260,174","32,903.7",12.65
City of Rocky Mount - (NC),NC,Municipal,"25,407","304,444","37,085.0",12.18
City of Statesville - (NC),NC,Municipal,"12,120","129,403","15,148.0",11.71
City of Washington - (NC),NC,Municipal,"11,547","137,861","17,933.7",13.01
City of Wilson - (NC),NC,Municipal,"32,078","416,897","50,589.3",12.13
"Duke Energy Carolinas, LLC",NC,Investor Owned,"1,919,372","22,664,575","3,159,208.3",13.94
Duke Energy Progress - (NC),NC,Investor Owned,"1,356,079","16,374,479","2,544,963.1",15.54
Edgecombe-Martin County E M C,NC,Cooperative,"10,716","146,098","23,470.4",16.06
EnergyUnited Elec Member Corp,NC,Cooperative,"121,995","1,739,084","200,670.0",11.54
Fayetteville Public Works Commission,NC,Municipal,"75,987","885,025","108,073.0",12.21
Four County Elec Member Corp,NC,Cooperative,"30,807","459,787","64,259.4",13.98
French Broad Elec Member Corp,NC,Cooperative,"36,147","335,747","49,621.6",14.78
Greenville Utilities Comm,NC,Municipal,"65,731","783,492","93,792.4",11.97
Haywood Electric Member Corp,NC,Cooperative,"29,078","281,601","46,758.0",16.60
Jones-Onslow Elec Member Corp,NC,Cooperative,"79,690","1,032,935","135,231.7",13.09
Lumbee River Elec Member Corp,NC,Cooperative,"64,396","1,012,516","129,687.0",12.81
Mecklenburg Electric Cooperative,NC,Cooperative,135,"1,698",244.5,14.40
"Mountain Electric Coop, Inc",NC,Cooperative,"15,491","171,496","21,452.0",12.51
New River Light & Power Co,NC,State,"7,247","62,263","7,752.0",12.45
"Palmetto Solar, LLC",NC,Behind the Meter,10,369,57.6,15.61
Pee Dee Electric Member Corp,NC,Cooperative,"19,396","266,304","39,343.5",14.77
Piedmont Electric Member Corp,NC,Cooperative,"30,334","416,987","65,034.5",15.60
Randolph Electric Member Corp,NC,Cooperative,"31,086","382,556","60,855.3",15.91
Roanoke Electric Member Corp,NC,Cooperative,"12,049","164,384","34,743.0",21.14
Rutherford Elec Member Corp,NC,Cooperative,"70,743","946,790","124,293.0",13.13
South River Elec Member Corp,NC,Cooperative,"45,730","689,832","91,755.0",13.30
Surry-Yadkin Elec Member Corp,NC,Cooperative,"28,080","347,700","55,836.0",16.06
Tideland Electric Member Corp,NC,Cooperative,"21,551","240,406","38,901.0",16.18
Town of Apex- (NC),NC,Municipal,"29,289","318,140","33,459.0",10.52
Town of High Point,NC,Municipal,"38,079","402,417","46,800.3",11.63
Town of Huntersville - (NC),NC,Municipal,"8,080","95,224","11,545.9",12.12
Town of Murphy - (NC),NC,Municipal,"3,685","47,863","6,149.0",12.85
Town of Tarboro - (NC),NC,Municipal,"5,592","62,151","8,426.0",13.56
Tri-County Elec Member Corp (NC),NC,Cooperative,"22,523","335,449","42,799.5",12.76
Tri-State Electric Member Corp,NC,Cooperative,"1,571","15,366","2,255.0",14.68
Union Electric Membership Corp - (NC),NC,Cooperative,"84,602","1,249,017","166,989.0",13.37
Virginia Electric & Power Co,NC,Investor Owned,"108,656","1,565,435","218,116.4",13.93
Wake Electric Membership Corp,NC,Cooperative,"53,268","710,186","95,341.2",13.42
York Electric Coop Inc,NC,Cooperative,15,251,31.0,12.35
Burke-Divide Electric Coop Inc,ND,Cooperative,"1,789","39,715","3,130.0",7.88
"Capital Electric Coop, Inc",ND,Cooperative,"19,530","237,167","29,185.8",12.31
Cass County Elec Coop Inc,ND,Cooperative,"51,968","615,863","76,658.0",12.45
Dakota Valley Elec Coop Inc,ND,Cooperative,"5,721","121,970","14,650.3",12.01
"Lower Yellowstone R E A, Inc",ND,Cooperative,799,"12,734","1,139.6",8.95
McKenzie Electric Coop Inc,ND,Cooperative,"5,382","110,229","8,665.9",7.86
"McLean Electric Coop, Inc",ND,Cooperative,"3,711","54,734","7,800.0",14.25
Montana-Dakota Utilities Co,ND,Investor Owned,"79,354","767,257","89,896.0",11.72
Mountrail-Williams Elec Coop,ND,Cooperative,"11,405","194,599","14,090.4",7.24
Nodak Electric Coop Inc,ND,Cooperative,"20,803","363,665","43,918.0",12.08
"North Central Elec Coop, Inc - (ND)",ND,Cooperative,"6,061","134,786","14,691.5",10.90
Northern Plains Electric Coop,ND,Cooperative,"10,393","227,714","24,261.0",10.65
Northern States Power Co - Minnesota,ND,Investor Owned,"82,987","731,084","88,553.0",12.11
Otter Tail Power Co,ND,Investor Owned,"45,467","556,789","63,354.1",11.38
Roughrider Electric Cooperativ,ND,Cooperative,"11,183","163,427","16,734.0",10.24
Slope Electric Coop Inc,ND,Cooperative,"3,204","43,295","5,981.0",13.81
Verendrye Electric Coop Inc,ND,Cooperative,"14,336","220,422","23,590.2",10.70
Butler Public Power District - (NE),NE,Political Subdivision,"4,774","65,668","7,292.0",11.10
Cedar-Knox Public Power Dist,NE,Political Subdivision,"5,556","92,243","7,787.6",8.44
City of Fremont - (NE),NE,Municipal,"14,077","144,541","17,296.1",11.97
City of Grand Island - (NE),NE,Municipal,"22,799","218,313","23,868.0",10.93
City of Hastings - (NE),NE,Municipal,"11,611","111,145","12,582.0",11.32
City of Lexington - (NE),NE,Municipal,"3,815","54,961","5,499.2",10.01
City of North Platte,NE,Municipal,"11,906","117,701","13,376.0",11.36
City of South Sioux City,NE,Municipal,"5,217","48,767","6,289.4",12.90
Cornhusker Public Power Dist,NE,Political Subdivision,"7,385","127,295","13,804.8",10.84
Custer Public Power District,NE,Political Subdivision,"4,707","74,178","9,426.4",12.71
Dawson Power District,NE,Political Subdivision,"16,080","245,306","27,989.2",11.41
Elkhorn Rural Public Pwr Dist,NE,Political Subdivision,"6,146","105,401","9,923.0",9.41
"High West Energy, Inc",NE,Cooperative,"1,752","18,309","2,687.5",14.68
Highline Electric Assn,NE,Cooperative,752,"8,116","1,148.3",14.15
